name,instance,run_id,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_types/precision,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental_metropolitan_transit-transit_line/macro_types/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental_metropolitan_transit/macro_types/recall,threshold_incremental,threshold_pretraining,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test/macro_example/precision,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_metropolitan_transit-transit_line/macro_types/f1,test_pretraining/micro/precision,test_incremental/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test/macro_example/f1,test/macro_example/recall,test/micro/precision,test/macro_types/recall,test/micro/f1,test/micro/recall,test/macro_types/f1,test_incremental/micro/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,epoch,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_incremental_metropolitan_transit-transit_line/macro_types/precision,test_incremental_metropolitan_transit/macro_types/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental_metropolitan_transit/macro_types/f1,test_pretraining/micro/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,6n2na94w,0.009126156568527222,0.7941176295280457,0.7941176295280457,0.8500000238418579,0.9066226482391356,0.009394572116434574,0.8999999761581421,0.8644067645072937,0.9153125882148744,0.800000011920929,0.05,0.25,0.009394572116434574,0.9000000953674316,0.9000000953674316,0.924170732498169,0.8178940415382385,0.8883099555969238,0.84375,0.9040972590446472,0.8770588040351868,0.8500000238418579,0.924170732498169,0.9153125882148744,0.9066226482391356,0.9040972590446472,0.8178940415382385,0.8922461867332458,0.8807017803192139,0.8516489863395691,0.8571428656578064,0.8742857575416565,0.8500000238418579,0.9000000953674316,0.8883099555969238,0.8516489863395691,0.84375,0.8999999761581421,29,0.8807017803192139,0.008872651495039463,0.7941176295280457,0.959999978542328,0.8999999761581421,0.9000000953674316,0.8633174300193787,0.009394572116434574,0.84375,0.009394572116434574,0.8727272748947144,0.8922461867332458
no_init_box_kenn_bottom_up_adapter_bert_ms,0,t3djt7n6,0.009126156568527222,0.8181818127632141,0.8181818127632141,0.8500000238418579,0.9066226482391356,0.009394572116434574,0.8999999761581421,0.8793103694915771,0.9153125882148744,0.800000011920929,0.01,0.25,0.009394572116434574,0.9000000953674316,0.9000000953674316,0.924170732498169,0.8178940415382385,0.8887912034988403,0.8571428060531616,0.9043008089065552,0.889090895652771,0.8500000238418579,0.924170732498169,0.9153125882148744,0.9066226482391356,0.9043008089065552,0.8178940415382385,0.8923453092575073,0.8807017803192139,0.851870059967041,0.8644067645072937,0.8742857575416565,0.8500000238418579,0.9000000953674316,0.8887912034988403,0.851870059967041,0.8571428060531616,0.8999999761581421,29,0.8807017803192139,0.008872651495039463,0.8181818127632141,0.959999978542328,0.8999999761581421,0.9000000953674316,0.869106113910675,0.009394572116434574,0.8571428060531616,0.009394572116434574,0.8727272748947144,0.8923453092575073
smart_init_box_adapter_bert_ms,2,ycvlqdzc,0.007987654767930508,0.9090909361839294,0.9090909361839294,0.7333333492279053,0.9055787324905396,0.008350730873644352,0.6666666865348816,0.936170220375061,0.914865493774414,0.800000011920929,0.68,0.25,0.006958942394703627,0.6666667461395264,0.8000000715255737,0.9243447184562684,0.8132274150848389,0.8906093835830688,0.7692307829856873,0.904966115951538,0.9345454573631288,0.7333333492279053,0.9243447184562684,0.914865493774414,0.9055787324905396,0.904966115951538,0.8132274150848389,0.8918798565864563,0.8791666626930237,0.8501611948013306,0.8224299550056458,0.7652174234390259,0.7333333492279053,0.6666667461395264,0.8906093835830688,0.8501611948013306,0.7692307829856873,0.6666666865348816,26,0.8791666626930237,0.007654836401343346,0.9090909361839294,0.959999978542328,0.6666666865348816,0.6666667461395264,0.8218023180961609,0.006958942394703627,0.7692307829856873,0.006958942394703627,0.8727272748947144,0.8918798565864563
smart_init_box_adapter_bert_ms,1,sfog47ur,0.009126156568527222,0.692307710647583,0.692307710647583,0.8500000238418579,0.906622588634491,0.009394572116434574,0.8999999761581421,0.796875,0.9149141907691956,0.800000011920929,0.37,0.25,0.009394572116434574,0.9000000953674316,0.9000000953674316,0.9233588576316832,0.8178940415382385,0.8862737417221069,0.782608687877655,0.9030807018280028,0.8261538743972778,0.8500000238418579,0.9233588576316832,0.9149141907691956,0.906622588634491,0.9030807018280028,0.8178940415382385,0.8917508721351624,0.8807017803192139,0.8507120013237,0.8225806951522827,0.8742857575416565,0.8500000238418579,0.9000000953674316,0.8862737417221069,0.8507120013237,0.782608687877655,0.8999999761581421,26,0.8807017803192139,0.008872651495039463,0.692307710647583,0.959999978542328,0.8999999761581421,0.9000000953674316,0.8379073143005371,0.009394572116434574,0.782608687877655,0.009394572116434574,0.8727272748947144,0.8917508721351624
smart_init_box_adapter_bert_ms,0,ans59338,0.009635940194129944,0.460317462682724,0.460317462682724,0.8833333253860474,0.9069705605506896,0.01009046658873558,0.9666666388511658,0.6022727489471436,0.9142075777053832,0.800000011920929,0.13,0.25,0.01009046658873558,0.9666666984558104,0.9666666984558104,0.9215611219406128,0.819227397441864,0.8816339373588562,0.6236559152603149,0.8986803889274597,0.7101587057113647,0.8833333253860474,0.9215611219406128,0.9142075777053832,0.9069705605506896,0.8986803889274597,0.819227397441864,0.8898239731788635,0.8811403512954712,0.8492857813835144,0.7162162065505981,0.9231231808662416,0.8833333849906921,0.9666666984558104,0.8816339373588562,0.8492857813835144,0.6236559152603149,0.9666666388511658,51,0.8811403512954712,0.00922059826552868,0.460317462682724,0.959999978542328,0.9666666388511658,0.9666666984558104,0.7873360514640808,0.01009046658873558,0.6236559152603149,0.01009046658873558,0.8727272748947144,0.8898239731788635
no_init_kenn_horizontal_adapter_bert_ms,2,3pbzq1p2,0.009306772612035276,0.4909090995788574,0.4909090995788574,0.8833333253860474,0.91459059715271,0.009394573047757149,0.8999999761581421,0.6235294342041016,0.9194589853286744,0.8666666746139526,0.87,0.375,0.009394573047757149,0.9000000953674316,0.9000000953674316,0.9243795275688172,0.8623095154762268,0.896021842956543,0.6352941393852234,0.9086676836013794,0.678787887096405,0.8833333253860474,0.9243795275688172,0.9194589853286744,0.91459059715271,0.9086676836013794,0.8623095154762268,0.9037591814994812,0.898903489112854,0.8788425326347351,0.731034517288208,0.8915888071060181,0.8833333849906921,0.9000000953674316,0.896021842956543,0.8788425326347351,0.6352941393852234,0.8999999761581421,87,0.898903489112854,0.00922059826552868,0.4909090995788574,0.8666666746139526,0.8999999761581421,0.9000000953674316,0.7676689624786377,0.009394573047757149,0.6352941393852234,0.009394573047757149,0.8666666746139526,0.9037591814994812
no_init_kenn_horizontal_adapter_bert_ms,1,3hy8kl7o,0.008841950446367264,0.6285714507102966,0.6285714507102966,0.800000011920929,0.913720726966858,0.009394573047757149,0.7333333492279053,0.7384615540504456,0.9203357100486756,0.8666666746139526,0.92,0.375,0.007654836401343346,0.73333340883255,0.9000000953674316,0.9270471334457396,0.8589761853218079,0.898775041103363,0.6769230365753174,0.9116010069847108,0.7476190328598022,0.800000011920929,0.9270471334457396,0.9203357100486756,0.913720726966858,0.9116010069847108,0.8589761853218079,0.9046514630317688,0.8978070020675659,0.8784250617027283,0.7680000066757202,0.847058892250061,0.8000000715255737,0.73333340883255,0.898775041103363,0.8784250617027283,0.6769230365753174,0.7333333492279053,81,0.8978070020675659,0.008350730873644352,0.6285714507102966,0.8666666746139526,0.7333333492279053,0.73333340883255,0.7729230523109436,0.007654836401343346,0.6769230365753174,0.007654836401343346,0.8666666746139526,0.9046514630317688
no_init_kenn_horizontal_adapter_bert_ms,0,1brd1e0a,0.00982257816940546,0.4393939375877381,0.4393939375877381,0.9166666865348816,0.9147935509681702,0.01009046658873558,0.9666666388511658,0.5729166865348816,0.9191309213638306,0.8666666746139526,0.85,0.375,0.01009046658873558,0.9666666984558104,0.9666666984558104,0.9235096573829652,0.8636428713798523,0.8949915170669556,0.6041666865348816,0.906899631023407,0.653030276298523,0.9166666269302368,0.9235096573829652,0.9191309213638306,0.9147935509681702,0.906899631023407,0.8636428713798523,0.903105080127716,0.8993421196937561,0.8790377974510193,0.7051282525062561,0.9410029649734496,0.9166667461395264,0.9666666984558104,0.8949915170669556,0.8790377974510193,0.6041666865348816,0.9666666388511658,58,0.8993421196937561,0.00956854596734047,0.4393939375877381,0.8666666746139526,0.9666666388511658,0.9666666984558104,0.7627090811729431,0.01009046658873558,0.6041666865348816,0.01009046658873558,0.8666666746139526,0.903105080127716
smart_init_kenn_hybrid_adapter_bert_ms,2,xyfv1d46,0.008777913637459278,0.9583333134651184,0.9583333134651184,0.8166666626930237,0.9140107035636902,0.009046625345945358,0.7666666507720947,0.9074074029922484,0.921082615852356,0.8666666746139526,0.98,0.375,0.008002784103155136,0.7666667103767395,0.8666667342185974,0.9282649159431458,0.8596428632736206,0.90537029504776,0.8518518805503845,0.9140625,0.912500023841858,0.8166666626930237,0.9282649159431458,0.921082615852356,0.9140107035636902,0.9140625,0.8596428632736206,0.905973494052887,0.8980262875556946,0.8819141983985901,0.8596490621566772,0.8409241437911987,0.8166667222976685,0.7666667103767395,0.90537029504776,0.8819141983985901,0.8518518805503845,0.7666666507720947,6,0.8980262875556946,0.008524704724550247,0.9583333134651184,0.8666666746139526,0.7666666507720947,0.7666667103767395,0.8619276881217957,0.008002784103155136,0.8518518805503845,0.008002784103155136,0.8666666746139526,0.905973494052887
smart_init_kenn_top_down_adapter_bert_ms,2,b6j6zx1z,0.008869240060448647,0.959999978542328,0.959999978542328,0.8333333134651184,0.9141846895217896,0.009046625345945358,0.800000011920929,0.9090909361839294,0.9211995601654052,0.8666666746139526,0.98,0.375,0.008350730873644352,0.8000000715255737,0.8666667342185974,0.9283229112625122,0.8603095412254333,0.9054036140441896,0.8727272748947144,0.9140816926956176,0.913333296775818,0.8333333730697632,0.9283229112625122,0.9211995601654052,0.9141846895217896,0.9140816926956176,0.8603095412254333,0.9060944318771362,0.898245632648468,0.8822807669639587,0.8695651888847351,0.849673330783844,0.8333333730697632,0.8000000715255737,0.9054036140441896,0.8822807669639587,0.8727272748947144,0.800000011920929,6,0.898245632648468,0.008698677644133568,0.959999978542328,0.8666666746139526,0.800000011920929,0.8000000715255737,0.8715013265609741,0.008350730873644352,0.8727272748947144,0.008350730873644352,0.8666666746139526,0.9060944318771362
smart_init_kenn_bottom_up_adapter_bert_ms,2,52f0ebn8,0.008777913637459278,0.9583333134651184,0.9583333134651184,0.8166666626930237,0.9140107035636902,0.009046625345945358,0.7666666507720947,0.9074074029922484,0.921082615852356,0.8666666746139526,0.94,0.375,0.008002784103155136,0.7666667103767395,0.8666667342185974,0.9282649159431458,0.8596428632736206,0.90537029504776,0.8518518805503845,0.9140625,0.912500023841858,0.8166666626930237,0.9282649159431458,0.921082615852356,0.9140107035636902,0.9140625,0.8596428632736206,0.905973494052887,0.8980262875556946,0.8819141983985901,0.8596490621566772,0.8409241437911987,0.8166667222976685,0.7666667103767395,0.90537029504776,0.8819141983985901,0.8518518805503845,0.7666666507720947,7,0.8980262875556946,0.008524704724550247,0.9583333134651184,0.8666666746139526,0.7666666507720947,0.7666667103767395,0.8619276881217957,0.008002784103155136,0.8518518805503845,0.008002784103155136,0.8666666746139526,0.905973494052887
smart_init_kenn_hybrid_adapter_bert_ms,1,4gb15per,0.009306772612035276,0.7297297120094299,0.7297297120094299,0.8833333253860474,0.91459059715271,0.009394573047757149,0.8999999761581421,0.7910447716712952,0.9210055470466614,0.8666666746139526,0.78,0.375,0.009394573047757149,0.9000000953674316,0.9000000953674316,0.9275110363960266,0.8623095154762268,0.900798201560974,0.8059700727462769,0.9123080372810364,0.7981982231140137,0.8833333253860474,0.9275110363960266,0.9210055470466614,0.91459059715271,0.9123080372810364,0.8623095154762268,0.9055561423301696,0.898903489112854,0.8811336755752563,0.8346456289291382,0.8915888071060181,0.8833333849906921,0.9000000953674316,0.900798201560974,0.8811336755752563,0.8059700727462769,0.8999999761581421,9,0.898903489112854,0.00922059826552868,0.7297297120094299,0.8666666746139526,0.8999999761581421,0.9000000953674316,0.8386105895042419,0.009394573047757149,0.8059700727462769,0.009394573047757149,0.8666666746139526,0.9055561423301696
smart_init_kenn_top_down_adapter_bert_ms,1,7gbgjrnb,0.009306772612035276,0.7105262875556946,0.7105262875556946,0.8833333253860474,0.91459059715271,0.009394573047757149,0.8999999761581421,0.779411792755127,0.920948326587677,0.8666666746139526,0.8200000000000001,0.375,0.009394573047757149,0.9000000953674316,0.9000000953674316,0.9273951053619384,0.8623095154762268,0.9004141688346863,0.7941175699234009,0.9121050238609314,0.788596510887146,0.8833333253860474,0.9273951053619384,0.920948326587677,0.91459059715271,0.9121050238609314,0.8623095154762268,0.9054561257362366,0.898903489112854,0.8809500336647034,0.8281250596046448,0.8915888071060181,0.8833333849906921,0.9000000953674316,0.9004141688346863,0.8809500336647034,0.7941175699234009,0.8999999761581421,8,0.898903489112854,0.00922059826552868,0.7105262875556946,0.8666666746139526,0.8999999761581421,0.9000000953674316,0.8332808613777161,0.009394573047757149,0.7941175699234009,0.009394573047757149,0.8666666746139526,0.9054561257362366
smart_init_kenn_bottom_up_adapter_bert_ms,1,yx93xu98,0.009306772612035276,0.7105262875556946,0.7105262875556946,0.8833333253860474,0.91459059715271,0.009394573047757149,0.8999999761581421,0.779411792755127,0.920948326587677,0.8666666746139526,0.86,0.375,0.009394573047757149,0.9000000953674316,0.9000000953674316,0.9273951053619384,0.8623095154762268,0.9004141688346863,0.7941175699234009,0.9121050238609314,0.788596510887146,0.8833333253860474,0.9273951053619384,0.920948326587677,0.91459059715271,0.9121050238609314,0.8623095154762268,0.9054561257362366,0.898903489112854,0.8809500336647034,0.8281250596046448,0.8915888071060181,0.8833333849906921,0.9000000953674316,0.9004141688346863,0.8809500336647034,0.7941175699234009,0.8999999761581421,10,0.898903489112854,0.00922059826552868,0.7105262875556946,0.8666666746139526,0.8999999761581421,0.9000000953674316,0.8332808613777161,0.009394573047757149,0.7941175699234009,0.009394573047757149,0.8666666746139526,0.9054561257362366
smart_init_kenn_hybrid_adapter_bert_ms,0,bhy5gpbm,0.008777913637459278,1.0,1.0,0.8166666626930237,0.9140107035636902,0.009046625345945358,0.7666666507720947,0.9245283007621764,0.9211112856864928,0.8666666746139526,0.97,0.375,0.008002784103155136,0.7666667103767395,0.8666667342185974,0.9283229112625122,0.8596428632736206,0.9062036275863647,0.8679245114326477,0.9142665863037108,0.9333333373069764,0.8166666626930237,0.9283229112625122,0.9211112856864928,0.9140107035636902,0.9142665863037108,0.8596428632736206,0.9060736894607544,0.8980262875556946,0.8823094367980957,0.8672566413879395,0.8409241437911987,0.8166667222976685,0.7666667103767395,0.9062036275863647,0.8823094367980957,0.8679245114326477,0.7666666507720947,5,0.8980262875556946,0.008524704724550247,1.0,0.8666666746139526,0.7666666507720947,0.7666667103767395,0.8711110949516296,0.008002784103155136,0.8679245114326477,0.008002784103155136,0.8666666746139526,0.9060736894607544
smart_init_kenn_top_down_adapter_bert_ms,0,xinr5qx4,0.008777913637459278,1.0,1.0,0.8166666626930237,0.9140107035636902,0.009046625345945358,0.7666666507720947,0.9245283007621764,0.9211112856864928,0.8666666746139526,0.98,0.375,0.008002784103155136,0.7666667103767395,0.8666667342185974,0.9283229112625122,0.8596428632736206,0.9062036275863647,0.8679245114326477,0.9142665863037108,0.9333333373069764,0.8166666626930237,0.9283229112625122,0.9211112856864928,0.9140107035636902,0.9142665863037108,0.8596428632736206,0.9060736894607544,0.8980262875556946,0.8823094367980957,0.8672566413879395,0.8409241437911987,0.8166667222976685,0.7666667103767395,0.9062036275863647,0.8823094367980957,0.8679245114326477,0.7666666507720947,5,0.8980262875556946,0.008524704724550247,1.0,0.8666666746139526,0.7666666507720947,0.7666667103767395,0.8711110949516296,0.008002784103155136,0.8679245114326477,0.008002784103155136,0.8666666746139526,0.9060736894607544
