name,instance,run_id,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_GPE-STATE_PROVINCE/macro_types/precision,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_types/recall,test_incremental/micro/precision,test_incremental_GPE-CITY/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/precision,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,epoch,test/macro_types/f1,test/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_GPE-CITY/macro_types/recall,threshold_incremental,test_incremental/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test_incremental/micro/f1,test_incremental/macro_example/f1,test/micro/precision,test_incremental/micro/recall,test/micro/recall,test_incremental_GPE-CITY/macro_types/precision,test_incremental_GPE/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_GPE/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_GPE-COUNTRY/macro_types/recall,test_pretraining/micro/recall,test_incremental_GPE-COUNTRY/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/recall,test_incremental_GPE/macro_types/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/f1,test_incremental/macro_example_exclusive/precision,test/micro/f1,test_pretraining/macro_example/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,be5jwzm8,0.647787868976593,0.749670684337616,0.8321087956428528,0.6127451658248901,1.0,0.8406378030776978,0.8166112303733826,0.6151863932609558,0.8258320093154907,0.7641509175300598,0.4067796468734741,0.6176471710205078,0.8237511515617371,0.8200467824935913,0.09142318367958067,0.7826797962188721,28,0.8229292035102844,0.8200467824935913,0.7949547171592712,0.8258320093154907,0.059377945959568024,0.6461538672447205,0.7117915749549866,0.3333333432674408,0.01,0.7586815357208252,0.7356321811676025,0.07524348050355911,0.7325581312179565,0.8229292035102844,0.8321087956428528,0.5779816508293152,0.0591413788497448,0.8586610555648804,0.175,0.7659574151039124,0.08254798501729965,0.7949547171592712,0.7677724957466125,0.8394808769226074,0.52173912525177,0.970588207244873,0.5702842473983765,0.7857142686843872,0.058906689286231995,0.7441860437393188,0.8394808769226074,0.7272727489471436,0.6703602075576782,0.8237511515617371,0.6333333253860474,0.8684210181236267,0.7755101919174194,0.9509804844856262,0.8166112303733826,0.8406378030776978
no_init_box_kenn_bottom_up_adapter_bert_ms,0,k43e9smt,0.49637994170188904,0.8012821078300476,0.8289178013801575,0.3823529779911041,1.0,0.832705020904541,0.8100839853286743,0.3823529779911041,0.7925598621368408,0.7796609997749329,0.375,0.3823529779911041,0.8251649141311646,0.8281959295272827,0.09142318367958067,0.6666667461395264,40,0.8099861145019531,0.8281959295272827,0.7974851131439209,0.7925598621368408,0.03675777465105057,0.48750001192092896,0.6238292455673218,0.25,0.01,0.7973901033401489,0.49275362491607666,0.06409047544002533,0.7647058963775635,0.8099861145019531,0.8289178013801575,0.35779815912246704,0.03675777465105057,0.7838385105133057,0.175,0.7113402485847473,0.07535486668348312,0.7974851131439209,0.6540284156799316,0.8230874538421631,0.75,0.970588207244873,0.3595607280731201,0.7857142686843872,0.03675777465105057,0.395348846912384,0.8230874538421631,0.6538461446762085,0.5123175978660583,0.8251649141311646,0.4333333373069763,0.8684210181236267,0.604651153087616,0.9509804844856262,0.8100839853286743,0.832705020904541
no_init_kenn_hybrid_adapter_bert_ms,2,ny6nphck,0.5852736234664917,0.44818115234375,0.8227764368057251,0.8529412746429443,0.4375,0.855010986328125,0.8026565313339233,0.7821577787399292,0.8761299848556519,0.5539358854293823,0.5272727012634277,0.7222223281860352,0.792884111404419,0.7551296353340149,0.07901351153850555,0.9068627953529358,21,0.811142086982727,0.7551296353340149,0.7473497986793518,0.8761299848556519,0.0694313496351242,0.5814696550369263,0.6477536559104919,0.8055555820465088,0.060000000000000005,0.5141934156417847,0.6238532066345215,0.08718190342187881,0.44607841968536377,0.811142086982727,0.8227764368057251,0.8348624110221863,0.07519329339265823,0.8622910380363464,0.25,0.6859205961227417,0.08289697021245956,0.7473497986793518,0.900473952293396,0.8668032884597778,0.3918918967247009,0.970588207244873,0.8431955575942993,0.7122302055358887,0.08199810981750488,0.7906976938247681,0.8668032884597778,0.5151515007019043,0.8750437498092651,0.792884111404419,0.9333333373069764,0.821576714515686,0.5957446694374084,0.8218954801559448,0.8026565313339233,0.855010986328125
no_init_kenn_top_down_adapter_bert_ms,2,oicrcan8,0.23161236941814425,0.13388381898403168,0.7609632611274719,0.8627451658248901,0.16574585437774658,0.8551681041717529,0.6915327906608582,0.7967860102653503,0.8784147500991821,0.2236533910036087,0.1762917935848236,0.7401961088180542,0.6854539513587952,0.7055037021636963,0.08011309802532196,0.9117648005485536,22,0.7825211882591248,0.7055037021636963,0.5749207735061646,0.8784147500991821,0.07115928083658218,0.2233009785413742,0.4237426221370697,0.8055555820465088,0.06999999999999999,0.27847039699554443,0.23239436745643616,0.08765316009521484,0.128671333193779,0.7825211882591248,0.7609632611274719,0.8440366983413696,0.0765995904803276,0.8707866072654724,0.25,0.3586854636669159,0.08371368795633316,0.5749207735061646,0.9052132964134216,0.8674863576889038,0.09897611290216446,0.970588207244873,0.8576658964157104,0.7122302055358887,0.08294062316417694,0.7674418687820435,0.8674863576889038,0.1369294673204422,0.8858964443206787,0.6854539513587952,1.0,0.821576714515686,0.28436020016670227,0.833333432674408,0.6915327906608582,0.8551681041717529
no_init_kenn_bottom_up_adapter_bert_ms,2,u57hhwxn,0.6712413430213928,0.5912209749221802,0.8274881839752197,0.7794118523597717,0.5625,0.8524190783500671,0.8138108253479004,0.7669610977172852,0.8655695915222168,0.6499999761581421,0.6511628031730652,0.7549020051956177,0.8039742112159729,0.7777148485183716,0.0838831290602684,0.8692811131477356,16,0.819293737411499,0.7777148485183716,0.7712538242340088,0.8655695915222168,0.07257304340600967,0.6640000343322754,0.7088744640350342,0.7777777910232544,0.16,0.6214732527732849,0.6511628031730652,0.08356895297765732,0.588652491569519,0.819293737411499,0.8274881839752197,0.7614678740501404,0.07373235374689102,0.8709120154380798,0.25,0.7413442730903625,0.08372575044631958,0.7712538242340088,0.8625592589378357,0.8613387942314148,0.5600000023841858,0.970588207244873,0.7763135433197021,0.7122302055358887,0.07492931187152863,0.6511628031730652,0.8613387942314148,0.6511628031730652,0.8248821496963501,0.8039742112159729,0.8999999761581421,0.821576714515686,0.6923076510429382,0.8725491166114807,0.8138108253479004,0.8524190783500671
no_init_kenn_hybrid_adapter_bert_ms,1,yqwxmt2c,0.672248363494873,0.6690325140953064,0.8284884691238403,0.6911765336990356,0.6944444179534912,0.8490418195724487,0.8155149817466736,0.6960439682006836,0.8496509790420532,0.6907630562782288,0.5573770999908447,0.7009804248809814,0.8089066743850708,0.7900009155273438,0.08765316009521484,0.8235294818878174,20,0.818740963935852,0.7900009155273438,0.7799251675605774,0.8496509790420532,0.06738924980163574,0.6666666865348816,0.7128632664680481,0.4722222089767456,0.5,0.6798319220542908,0.6739130020141602,0.0791705921292305,0.6636363863945007,0.818740963935852,0.8284884691238403,0.6697247624397278,0.06691467761993408,0.8654038906097412,0.25,0.7478260397911072,0.08319622278213501,0.7799251675605774,0.8151658773422241,0.8545082211494446,0.6800000071525574,0.970588207244873,0.6754952669143677,0.7122302055358887,0.06644675135612488,0.7209302186965942,0.8545082211494446,0.6326530575752258,0.7492685317993164,0.8089066743850708,0.8333333134651184,0.821576714515686,0.7575757503509521,0.9117647409439088,0.8155149817466736,0.8490418195724487
no_init_kenn_top_down_adapter_bert_ms,1,vf2u1fh1,0.648051917552948,0.6647041440010071,0.8277954459190369,0.6519608497619629,0.78125,0.8471567630767822,0.8141130805015564,0.6568261981010437,0.842816948890686,0.6900826692581177,0.47457626461982727,0.6617647409439087,0.8092994093894958,0.7893174886703491,0.08875274658203125,0.8022876381874084,26,0.8151904344558716,0.7893174886703491,0.7802128791809082,0.842816948890686,0.0636192262172699,0.6415094137191772,0.6961159110069275,0.3888888955116272,0.5,0.6765856742858887,0.6373626589775085,0.07712849974632263,0.6601941585540771,0.8151904344558716,0.8277954459190369,0.6238532066345215,0.06314445286989212,0.8585085272789001,0.25,0.7373068332672119,0.0825333371758461,0.7802128791809082,0.7914692163467407,0.8510928750038147,0.6086956262588501,0.970588207244873,0.6322136521339417,0.7122302055358887,0.06267672032117844,0.6744186282157898,0.8510928750038147,0.6041666865348816,0.7168072462081909,0.8092994093894958,0.8333333134651184,0.821576714515686,0.8064516186714172,0.923202633857727,0.8141130805015564,0.8471567630767822
no_init_kenn_bottom_up_adapter_bert_ms,1,87jti251,0.7046151161193848,0.6856341361999512,0.8291824460029602,0.7401961088180542,0.7272727489471436,0.8508482575416565,0.8175609707832336,0.7426390647888184,0.8574165105819702,0.6953125,0.6363636255264282,0.7450981140136719,0.8085925579071045,0.7926222085952759,0.08828149735927582,0.8496732711791992,18,0.8237472176551819,0.7926222085952759,0.7802606821060181,0.8574165105819702,0.07163053750991821,0.6991150975227356,0.7362388968467712,0.5833333134651184,0.28,0.6922831535339355,0.7010309100151062,0.08168394863605499,0.6752136945724487,0.8237472176551819,0.8291824460029602,0.7247706651687622,0.07139413058757782,0.8826550841331482,0.25,0.7623125910758972,0.08485467731952667,0.7802606821060181,0.8436018824577332,0.8586065769195557,0.699999988079071,0.970588207244873,0.7246769666671753,0.7122302055358887,0.07115928083658218,0.7906976938247681,0.8586065769195557,0.6296296119689941,0.7861548066139221,0.8085925579071045,0.800000011920929,0.821576714515686,0.7619048357009888,0.9183007478713988,0.8175609707832336,0.8508482575416565
no_init_kenn_hybrid_adapter_bert_ms,0,j6mmterx,0.66403728723526,0.6436237692832947,0.8290198445320129,0.7058824300765991,0.71875,0.8501414060592651,0.8152244091033936,0.7083249688148499,0.851276159286499,0.6823529601097107,0.5217391848564148,0.7107844352722168,0.8089224100112915,0.785988986492157,0.0874960720539093,0.8316993713378906,17,0.8173308372497559,0.785988986492157,0.7782608866691589,0.851276159286499,0.0683317631483078,0.6666666269302368,0.7056171894073486,0.5,0.47,0.660775363445282,0.7234042882919312,0.07995600998401642,0.6465517282485962,0.8173308372497559,0.8290198445320129,0.6880733966827393,0.06809532642364502,0.8691492676734924,0.25,0.7467811107635498,0.08355627954006195,0.7782608866691589,0.8246445655822754,0.8558743000030518,0.5454545617103577,0.970588207244873,0.6857881546020508,0.7122302055358887,0.06786050647497177,0.7906976938247681,0.8558743000030518,0.6666666865348816,0.7569881677627563,0.8089224100112915,0.7666666507720947,0.821576714515686,0.7419354915618896,0.9101307988166808,0.8152244091033936,0.8501414060592651
no_init_kenn_top_down_adapter_bert_ms,0,efczrylb,0.6334541440010071,0.5885412693023682,0.8272426128387451,0.7058824300765991,0.6969696879386902,0.8501414060592651,0.8120543956756592,0.7083249688148499,0.851276159286499,0.6516854166984558,0.4675324559211731,0.7107844352722168,0.8055450916290283,0.7772917747497559,0.08702481538057327,0.8316993713378906,19,0.8126034140586853,0.7772917747497559,0.7725030779838562,0.851276159286499,0.0683317631483078,0.6329113841056824,0.6813555955886841,0.5,0.46,0.6194635033607483,0.7010309100151062,0.07995600998401642,0.5859375,0.8126034140586853,0.8272426128387451,0.6880733966827393,0.06809532642364502,0.8669077157974243,0.25,0.7280334234237671,0.08334078639745712,0.7725030779838562,0.8246445655822754,0.8558743000030518,0.4390243887901306,0.970588207244873,0.6857881546020508,0.7122302055358887,0.06786050647497177,0.7906976938247681,0.8558743000030518,0.6296296119689941,0.7569881677627563,0.8055450916290283,0.7666666507720947,0.821576714515686,0.7301586866378784,0.905228853225708,0.8120543956756592,0.8501414060592651
