name,instance,run_id,test_pretraining/macro_types/f1,test/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,threshold_pretraining,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental_GPE-CITY/macro_types/f1,test_pretraining/micro/precision,epoch,test_incremental_only/macro_example/precision,test_incremental_GPE-CITY/macro_types/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/f1,test_incremental/macro_types/recall,test_incremental_GPE-CITY/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/f1,threshold_incremental,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_GPE/macro_types/recall,test_incremental_only/macro_types/precision,test/micro/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_GPE/macro_types/f1,test/micro/precision,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example/precision,test_incremental_GPE-COUNTRY/macro_types/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_GPE/macro_types/precision,test/micro/recall,test/macro_example/precision,test_incremental_only/macro_types/f1
no_init_box_kenn_bottom_up_adapter_bert_ms,0,7rwb1fcj,0.8257056474685669,0.8271307945251465,0.7788149118423462,0.6025825142860413,0.175,0.7732695937156677,0.8323166966438293,0.4642857313156128,0.7970168590545654,22,0.059377945959568024,0.6499999761581421,0.807692289352417,0.6765295267105103,0.3611111044883728,0.5779816508293152,0.05655042082071304,0.8394808769226074,0.7240777611732483,0.7788461446762085,0.699999988079071,0.617647111415863,0.8402450084686279,0.8242853879928589,0.6744186282157898,0.9411765336990356,0.6596858501434326,0.8242853879928589,0.6987952589988708,0.02,0.7682926654815674,0.7745099067687988,0.970588207244873,0.7765151262283325,0.8176979422569275,0.8323166966438293,0.8176979422569275,0.8684210181236267,0.7970168590545654,0.8402450084686279,0.8245365619659424,0.8497480154037476,0.8257056474685669,0.8271307945251465,0.0744580551981926,0.7677724957466125,0.05792970210313797,0.5882353782653809,0.09048067778348924,0.7250000238418579,0.9545454382896424,0.08169112354516983,0.5785099267959595,0.7857142686843872,0.8394808769226074,0.8245365619659424,0.6630455851554871
no_init_kenn_hybrid_adapter_bert_ms,2,e6zwdf83,0.8310683965682983,0.8761299848556519,0.6818000078201294,0.8504267334938049,0.25,0.7818930745124817,0.8314232230186462,0.6987951397895813,0.7785276174545288,14,0.08105560392141342,0.6170212626457214,0.8115941882133484,0.8750437498092651,0.8055555820465088,0.8348624110221863,0.08246936649084091,0.8668032884597778,0.7664286494255066,0.6909090876579285,0.9333333373069764,0.8431373238563538,0.8552466630935669,0.7904152274131775,0.7906976938247681,0.9068628549575806,0.7428571581840515,0.7904152274131775,0.7311828136444092,0.14,0.6691176295280457,0.9084967970848083,0.970588207244873,0.6716566681861877,0.820297360420227,0.8314232230186462,0.820297360420227,0.821576714515686,0.7785276174545288,0.8552466630935669,0.8088909983634949,0.9076790809631348,0.8310683965682983,0.8761299848556519,0.08733898401260376,0.900473952293396,0.08175636827945709,0.8578431606292725,0.08718189597129822,0.6800000071525574,0.7179487347602844,0.08726037293672562,0.8431955575942993,0.7122302055358887,0.8668032884597778,0.8088909983634949,0.7477137446403503
no_init_kenn_top_down_adapter_bert_ms,2,n72u5uvq,0.808108925819397,0.8761299848556519,0.4892996847629547,0.8504267334938049,0.25,0.6563040018081665,0.8189085721969604,0.5000000596046448,0.7365061044692993,14,0.08105560392141342,0.36250001192092896,0.6746988296508789,0.8750437498092651,0.8055555820465088,0.8348624110221863,0.08246936649084091,0.8668032884597778,0.6276406049728394,0.5163043737411499,0.9333333373069764,0.8431373238563538,0.8552466630935669,0.7498888373374939,0.7906976938247681,0.9068628549575806,0.5384615063667297,0.7498888373374939,0.4892086088657379,0.14,0.39737990498542786,0.9084967970848083,0.970588207244873,0.4149895310401917,0.7963602542877197,0.8189085721969604,0.7963602542877197,0.821576714515686,0.7365061044692993,0.8552466630935669,0.7855324745178223,0.9076790809631348,0.808108925819397,0.8761299848556519,0.08733898401260376,0.900473952293396,0.08175636827945709,0.8578431606292725,0.08718189597129822,0.3541666567325592,0.5283018946647644,0.08726037293672562,0.8431955575942993,0.7122302055358887,0.8668032884597778,0.7855324745178223,0.5562254786491394
no_init_kenn_bottom_up_adapter_bert_ms,2,zybndc3a,0.8286829590797424,0.873681902885437,0.6707658767700195,0.8283154368400574,0.25,0.7736625671386719,0.8306698799133301,0.6904761791229248,0.7773005962371826,13,0.07869933545589447,0.6041666865348816,0.7999999523162842,0.8634158372879028,0.8055555820465088,0.8165137767791748,0.08058435469865799,0.8654371500015259,0.7549951672554016,0.6836363673210144,0.9333333373069764,0.8186275362968445,0.8546183109283447,0.7880922555923462,0.7441860437393188,0.9003268480300903,0.7265306711196899,0.7880922555923462,0.7032967209815979,0.12,0.654411792755127,0.8986928462982178,0.970588207244873,0.6569444537162781,0.8190045356750488,0.8306698799133301,0.8190045356750488,0.821576714515686,0.7773005962371826,0.8546183109283447,0.8080270290374756,0.8995091319084167,0.8286829590797424,0.873681902885437,0.0863964855670929,0.8909952640533447,0.07963068783283234,0.8382353782653809,0.08655355870723724,0.6666666865348816,0.699999988079071,0.0864749476313591,0.8276916742324829,0.7122302055358887,0.8654371500015259,0.8080270290374756,0.7324993014335632
no_init_kenn_hybrid_adapter_bert_ms,1,eg56ofnf,0.8271469473838806,0.8746678829193115,0.6538151502609253,0.8406220078468323,0.25,0.7651822566986084,0.8293803930282593,0.699999988079071,0.7741147875785828,14,0.08011309802532196,0.6363636255264282,0.7999999523162842,0.8680992126464844,0.7777777910232544,0.8256880640983582,0.08152686059474945,0.8661202192306519,0.7458716630935669,0.6678445339202881,0.9333333373069764,0.8333333730697632,0.8547753691673279,0.7845236659049988,0.7906976938247681,0.9035948514938354,0.7114624381065369,0.7845236659049988,0.6601941585540771,0.2,0.625,0.9035948514938354,0.970588207244873,0.6343434453010559,0.8175371289253235,0.8293803930282593,0.8175371289253235,0.821576714515686,0.7741147875785828,0.8547753691673279,0.8054507970809937,0.9035948514938354,0.8271469473838806,0.8746678829193115,0.08686773478984833,0.8957346081733704,0.08081379532814026,0.8480392694473267,0.08686773478984833,0.5666666626930237,0.699999988079071,0.08686773478984833,0.833936333656311,0.7122302055358887,0.8661202192306519,0.8054507970809937,0.720573902130127
no_init_kenn_top_down_adapter_bert_ms,1,z8apcwtd,0.8092749714851379,0.8746678829193115,0.5039817094802856,0.835604727268219,0.25,0.6654930114746094,0.8159798383712769,0.4745762348175049,0.7406542301177979,14,0.0791705846786499,0.3414634168148041,0.7088607549667358,0.8680992126464844,0.7777777910232544,0.8256880640983582,0.08152686059474945,0.8661202192306519,0.6377264261245728,0.529411792755127,0.9333333373069764,0.8235294818878174,0.8547753691673279,0.7529798150062561,0.7906976938247681,0.89705890417099,0.5504587292671204,0.7529798150062561,0.5230768918991089,0.2,0.4128440320491791,0.9035948514938354,0.970588207244873,0.434565544128418,0.7984886765480042,0.8159798383712769,0.7984886765480042,0.821576714515686,0.7406542301177979,0.8547753691673279,0.7805529832839966,0.9003150463104248,0.8092749714851379,0.8746678829193115,0.08686773478984833,0.8957346081733704,0.08033144474029541,0.8480392694473267,0.08623939752578735,0.39080458879470825,0.5714285969734192,0.08655242621898651,0.833936333656311,0.7122302055358887,0.8661202192306519,0.7805529832839966,0.5713826417922974
no_init_kenn_bottom_up_adapter_bert_ms,1,8n8n38gq,0.8223541975021362,0.8630468845367432,0.657626748085022,0.7768912315368652,0.25,0.752598762512207,0.8285230994224548,0.7012986540794373,0.7753846049308777,14,0.07540056109428406,0.6585366129875183,0.7692307233810425,0.8128989934921265,0.75,0.752293586730957,0.07398679852485657,0.8606557250022888,0.7270652651786804,0.6703703999519348,0.8333333134651184,0.7843137979507446,0.8523405194282532,0.7853261232376099,0.6976743936538696,0.9084967970848083,0.6833333969116211,0.7853261232376099,0.6122448444366455,0.23,0.6259542107582092,0.8643791675567627,0.970588207244873,0.6394256353378296,0.8157979846000671,0.8285230994224548,0.8157979846000671,0.821576714515686,0.7753846049308777,0.8523405194282532,0.8060005903244019,0.8858890533447266,0.8223541975021362,0.8630468845367432,0.08309771120548248,0.8578199148178101,0.07468698918819427,0.7696079015731812,0.08733898401260376,0.5454545617103577,0.7142857313156128,0.08516557514667511,0.7603359222412109,0.7122302055358887,0.8606557250022888,0.8060005903244019,0.6946586966514587
no_init_kenn_hybrid_adapter_bert_ms,0,pqgrvmo1,0.8208997845649719,0.8786119222640991,0.5862627029418945,0.8462257981300354,0.25,0.7255638837814331,0.8257818222045898,0.4324324429035187,0.758949875831604,13,0.07775682955980301,0.3199999928474426,0.7777777910232544,0.886833131313324,0.6666666865348816,0.8623853325843811,0.0852968841791153,0.868852436542511,0.7058836817741394,0.6012461185455322,0.9333333373069764,0.8088235855102539,0.8560320734977722,0.7703021168708801,0.9767441749572754,0.8807190656661987,0.6460481882095337,0.7703021168708801,0.7777777314186096,0.08,0.5164835453033447,0.923202633857727,0.970588207244873,0.5442735552787781,0.8101910352706909,0.8257818222045898,0.8101910352706909,0.821576714515686,0.758949875831604,0.8560320734977722,0.7975965738296509,0.901460587978363,0.8208997845649719,0.8786119222640991,0.08875274658203125,0.914691925048828,0.08135251700878143,0.8872549533843994,0.08466854691505432,0.6461538672447205,0.6666666865348816,0.08666255325078964,0.8589147329330444,0.7122302055358887,0.868852436542511,0.7975965738296509,0.6663177013397217
no_init_kenn_top_down_adapter_bert_ms,0,sg94yp8u,0.8134129643440247,0.8771499395370483,0.5293055772781372,0.8675363659858704,0.25,0.6666666865348816,0.8172760009765625,0.3194444477558136,0.7389534711837769,14,0.08246936649084091,0.21296297013759613,0.736842155456543,0.879888653755188,0.6388888955116272,0.853210985660553,0.08435438573360443,0.8681694269180298,0.6609876155853271,0.5260273814201355,0.9333333373069764,0.8578431606292725,0.8557178974151611,0.7583111524581909,0.9767441749572754,0.9199346899986268,0.555223822593689,0.7583111524581909,0.730434775352478,0.17,0.4115044176578522,0.9183007478713988,0.970588207244873,0.4683306813240051,0.7983668446540833,0.8172760009765625,0.7983668446540833,0.821576714515686,0.7389534711837769,0.8557178974151611,0.7821394801139832,0.9191169738769532,0.8134129643440247,0.8771499395370483,0.08828149735927582,0.9099525809288024,0.08340123295783997,0.8774510622024536,0.08843857795000076,0.5833333134651184,0.6086956262588501,0.08835995942354202,0.8496555089950562,0.7122302055358887,0.8681694269180298,0.7821394801139832,0.6038298606872559
no_init_kenn_bottom_up_adapter_bert_ms,0,h085mqar,0.8135871887207031,0.8786119222640991,0.5255666375160217,0.8381066918373108,0.25,0.6643717885017395,0.8159756660461426,0.3221476376056671,0.7373912930488586,13,0.07634307444095612,0.21238937973976135,0.7000000476837158,0.886833131313324,0.6666666865348816,0.8623853325843811,0.0852968841791153,0.868852436542511,0.6599971652030945,0.5216216444969177,0.9333333373069764,0.7941176891326904,0.8560320734977722,0.7575240135192871,0.9767441749572754,0.875817060470581,0.5529412031173706,0.7575240135192871,0.7567567825317383,0.05,0.40692639350891113,0.923202633857727,0.970588207244873,0.463345468044281,0.7977422475814819,0.8159756660461426,0.7977422475814819,0.821576714515686,0.7373912930488586,0.8560320734977722,0.7795004844665527,0.8988857865333557,0.8135871887207031,0.8786119222640991,0.08875274658203125,0.914691925048828,0.0805719867348671,0.8872549533843994,0.08419729769229889,0.6176470518112183,0.5600000023841858,0.08641503006219864,0.8589147329330444,0.7122302055358887,0.868852436542511,0.7795004844665527,0.6019605994224548
no_init_kenn_horizontal_adapter_bert_ms,2,rvgapzqo,0.8128739595413208,0.8701732158660889,0.54993736743927,0.8136959671974182,0.25,0.7072243690490723,0.8228855729103088,0.5800000429153442,0.757485032081604,13,0.0777568370103836,0.453125,0.6419753432273865,0.8467491269111633,0.8055555820465088,0.7981651425361633,0.07869934290647507,0.8640710115432739,0.6668052673339844,0.5904762148857117,0.8666666746139526,0.8088235855102539,0.8542255759239197,0.7626546621322632,0.7441860437393188,0.9166667461395264,0.6105263233184814,0.7626546621322632,0.615384578704834,0.04,0.4943181872367859,0.888888955116272,0.970588207244873,0.4958397150039673,0.8072750568389893,0.8228855729103088,0.8072750568389893,0.821576714515686,0.757485032081604,0.8542255759239197,0.7937637567520142,0.9025641679763794,0.8128739595413208,0.8701732158660889,0.08545397222042084,0.8815165758132935,0.07822525501251221,0.8186275362968445,0.08812440931797028,0.5245901346206665,0.5098039507865906,0.08676864951848984,0.8054694533348083,0.7122302055358887,0.8640710115432739,0.7937637567520142,0.6138184070587158
