name,instance,run_id,test_incremental/macro_example/precision,test/macro_types/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_types/f1,test/micro/recall,test_incremental_only/micro/precision,test_incremental_GPE-CITY/macro_types/f1,test_incremental/macro_example_exclusive/recall,test/micro/f1,test_pretraining/micro/recall,test_incremental_GPE/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_incremental/micro/recall,test_incremental_only/micro/recall,threshold_pretraining,test/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/precision,test_incremental/micro/f1,test_incremental_GPE/macro_types/recall,test_incremental_GPE/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/precision,epoch,test/macro_example/f1,test_incremental_GPE-COUNTRY/macro_types/recall,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test/micro/precision,test_pretraining/macro_types/recall,test_incremental_GPE-CITY/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental/micro/precision,test_incremental/macro_types/recall,test_incremental_GPE-COUNTRY/macro_types/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/f1,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_GPE-CITY/macro_types/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/macro_types/recall,test_pretraining/micro/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,gwo65f6b,0.0900094211101532,0.7863591313362122,0.6333333253860474,0.829406201839447,0.3904455900192261,0.8169398903846741,0.625,0.13333334028720856,0.6225490570068359,0.8048452734947205,0.8169398903846741,0.8684210181236267,0.02827521227300167,0.29411768913269043,0.8234370350837708,0.6113743782043457,0.2752293646335602,0.175,0.7894439101219177,0.7478418946266174,0.8636363744735718,0.6701298952102661,0.970588207244873,0.7857142686843872,0.47058823704719543,47,0.8264108300209045,0.1860465109348297,0.059849198907613754,0.829406201839447,0.3821656107902527,0.5311036705970764,0.7931034564971924,0.7832983732223511,0.3333333432674408,0.7894439101219177,0.29411768913269043,0.7931034564971924,0.0718943178653717,0.6133180856704712,0.7413793206214905,0.4683253467082978,0.2666666805744171,0.7307692766189575,0.7863591313362122,0.936274528503418,0.29411768913269043,0.01,0.8264108300209045,0.30090439319610596,0.0833333358168602,0.5558526515960693,0.8234370350837708,0.02827521227300167,0.02827521227300167,0.7832983732223511,0.8048452734947205
no_init_box_kenn_bottom_up_adapter_bert_ms,0,6061wl92,0.09095193445682526,0.7839016914367676,0.46666666865348816,0.8263430595397949,0.3163849115371704,0.8107923269271851,0.699999988079071,0.09756097942590714,0.5784314274787903,0.8036559820175171,0.8107923269271851,0.8684210181236267,0.019792648032307625,0.20588237047195437,0.8259503841400146,0.5687204003334045,0.19266055524349213,0.175,0.7989687323570251,0.7179244756698608,0.8235294222831726,0.6539509892463684,0.970588207244873,0.7857142686843872,0.625,47,0.82614666223526,0.11627907305955888,0.05560791492462158,0.8263430595397949,0.30215829610824585,0.4994580149650574,0.7966442704200745,0.7693924903869629,0.4000000059604645,0.7989687323570251,0.20588235557079315,0.7966442704200745,0.06901818513870239,0.6585608720779419,0.7692307829856873,0.4022723734378814,0.19607844948768616,0.5957447290420532,0.7839016914367676,0.9460784792900084,0.20588237047195437,0.01,0.82614666223526,0.21283377707004547,0.0555555559694767,0.6161764860153198,0.8259503841400146,0.019792648032307625,0.019792648032307625,0.7693924903869629,0.8036559820175171
no_init_kenn_hybrid_adapter_bert_ms,2,3xu9cgys,0.08105561137199402,0.8030962944030762,0.8333333134651184,0.8464499115943909,0.5731900930404663,0.8490437269210815,0.5284552574157715,0.5542168617248535,0.7810457944869995,0.8068809509277344,0.8490437269210815,0.821576714515686,0.05934428796172142,0.6029412746429443,0.8038957118988037,0.7772511839866638,0.5963302850723267,0.25,0.7682223320007324,0.8109046816825867,0.5555555820465088,0.6934460997581482,0.970588207244873,0.7122302055358887,0.5483871102333069,44,0.824624240398407,0.395348846912384,0.07508639246225357,0.8464499115943909,0.5603448152542114,0.6360676288604736,0.7687074542045593,0.8412870168685913,0.4893617033958435,0.7682223320007324,0.6172969341278076,0.7687074542045593,0.0779569074511528,0.576383650302887,0.6259542107582092,0.7095397710800171,0.45945945382118225,0.6666667461395264,0.8030962944030762,0.8431373238563538,0.6323530077934265,0.11,0.824624240398407,0.6225237250328064,0.6388888955116272,0.5311014652252197,0.8038957118988037,0.05796418711543083,0.060791704803705215,0.8412870168685913,0.8068809509277344
no_init_kenn_top_down_adapter_bert_ms,2,jrx18wtw,0.08105561137199402,0.7813399434089661,0.8666666746139526,0.847078263759613,0.3809522688388825,0.8504098653793335,0.21967212855815887,0.223300963640213,0.7908497452735901,0.7631014585494995,0.8504098653793335,0.821576714515686,0.060471005737781525,0.6225490570068359,0.7532673478126526,0.7867298722267151,0.6146789193153381,0.25,0.7271438837051392,0.8161569833755493,0.4406779706478119,0.5068702101707458,0.970588207244873,0.7122302055358887,0.2368421107530594,45,0.7974233031272888,0.41860464215278625,0.07602889835834503,0.847078263759613,0.32367148995399475,0.4994147717952728,0.692051112651825,0.844265341758728,0.1352941244840622,0.7271438837051392,0.6290171146392822,0.692051112651825,0.07846182584762573,0.38126111030578613,0.37387385964393616,0.7236870527267456,0.3025209903717041,0.584269642829895,0.7813399434089661,0.8431373238563538,0.6356209516525269,0.1,0.7974233031272888,0.6413867473602295,0.6388888955116272,0.27093809843063354,0.7532673478126526,0.059849198907613754,0.061105877161026,0.844265341758728,0.7631014585494995
no_init_kenn_bottom_up_adapter_bert_ms,2,3qpxgpcj,0.08058434724807739,0.7949469089508057,0.8333333134651184,0.8502199649810791,0.4863133728504181,0.8565573692321777,0.2945736348628998,0.260869562625885,0.8349673748016357,0.7798507809638977,0.8565573692321777,0.821576714515686,0.0676174908876419,0.710784375667572,0.7674520611763,0.829383909702301,0.6972476840019226,0.25,0.7427845001220703,0.8365982174873352,0.4901960790157318,0.575657844543457,0.970588207244873,0.7122302055358887,0.4576271176338196,40,0.806718647480011,0.6279069781303406,0.0802701860666275,0.8502199649810791,0.41416892409324646,0.5737104415893555,0.715753436088562,0.8549889326095581,0.1621621549129486,0.7427845001220703,0.70335453748703,0.715753436088562,0.08042696118354797,0.4555538892745972,0.4408060312271118,0.7746238112449646,0.5294117331504822,0.6172839999198914,0.7949469089508057,0.8382353782653809,0.6960784792900085,0.03,0.806718647480011,0.7093023657798767,0.6666666865348816,0.3699951171875,0.7674520611763,0.0683317631483078,0.06691800057888031,0.8549889326095581,0.7798507809638977
no_init_kenn_hybrid_adapter_bert_ms,1,do0os2a8,0.0852968841791153,0.8146288990974426,0.9333333373069764,0.8499842882156372,0.6418291330337524,0.8592896461486816,0.5517241358757019,0.5588235259056091,0.8480392694473267,0.8108282089233398,0.8592896461486816,0.821576714515686,0.06727061420679092,0.7303922176361084,0.8033616542816162,0.8483412265777588,0.7339449524879456,0.25,0.7735738158226013,0.8672040104866028,0.6086956262588501,0.7232323288917542,0.970588207244873,0.7122302055358887,0.4925373196601868,31,0.8260155916213989,0.7674418687820435,0.08152686059474945,0.8499842882156372,0.6299212574958801,0.6868112683296204,0.7675411701202393,0.8602859973907471,0.59375,0.7735738158226013,0.6997464299201965,0.7675411701202393,0.08336927741765976,0.6018033027648926,0.6302816867828369,0.799785315990448,0.5999999642372131,0.736842155456543,0.8146288990974426,0.8872549533843994,0.6715686917304993,0.12,0.8260155916213989,0.7428510189056396,0.5277777910232544,0.5649943351745605,0.8033616542816162,0.07021677494049072,0.06456173211336136,0.8602859973907471,0.8108282089233398
no_init_kenn_top_down_adapter_bert_ms,1,m04w7jhe,0.08372604101896286,0.7887941002845764,0.9333333373069764,0.8513981103897095,0.381795346736908,0.8620218634605408,0.23333333432674408,0.41904765367507935,0.8660131692886353,0.7606992125511169,0.8620218634605408,0.821576714515686,0.06954172998666763,0.7647059559822083,0.7510929107666016,0.8672986030578613,0.7706422209739685,0.25,0.7243002653121948,0.8684571385383606,0.25,0.5154929757118225,0.970588207244873,0.7122302055358887,0.18994413316249847,31,0.79810631275177,0.7906976938247681,0.08325479179620743,0.8513981103897095,0.35820895433425903,0.5090054273605347,0.6806904077529907,0.8658959865570068,0.3188405930995941,0.7243002653121948,0.7233704924583435,0.6806904077529907,0.08348975330591202,0.3677537441253662,0.36673346161842346,0.8264325857162476,0.30630630254745483,0.39436617493629456,0.7887941002845764,0.8709150552749634,0.686274528503418,0.14,0.79810631275177,0.7783806920051575,0.6111111044883728,0.2529282569885254,0.7510929107666016,0.07351554930210114,0.06597548723220825,0.8658959865570068,0.7606992125511169
no_init_kenn_bottom_up_adapter_bert_ms,1,oc4cx90y,0.08404020965099335,0.8139731287956238,0.9333333373069764,0.8509267568588257,0.6327335238456726,0.8613387942314148,0.5286624431610107,0.5428572297096252,0.8611111640930176,0.809630811214447,0.8613387942314148,0.821576714515686,0.06833337992429733,0.7549020051956177,0.8011780977249146,0.8625592589378357,0.7614678740501404,0.25,0.7694556713104248,0.8675978779792786,0.5714285969734192,0.7179487943649292,0.970588207244873,0.7122302055358887,0.4864864945411682,31,0.8253033757209778,0.8372092843055725,0.0827835351228714,0.8509267568588257,0.6240600943565369,0.6800065040588379,0.7637795209884644,0.8639580011367798,0.5588235259056091,0.7694556713104248,0.7108011841773987,0.7637795209884644,0.08340714126825333,0.5822421908378601,0.6148648858070374,0.8172271847724915,0.615384578704834,0.7088607549667358,0.8139731287956238,0.8741830587387085,0.6715686917304993,0.06999999999999999,0.8253033757209778,0.7661068439483643,0.5277777910232544,0.5389128923416138,0.8011780977249146,0.07257303595542908,0.06456173211336136,0.8639580011367798,0.809630811214447
no_init_kenn_hybrid_adapter_bert_ms,0,46mnyhrt,0.08796732127666473,0.8124855756759644,0.8666666746139526,0.8486490845680237,0.6331283450126648,0.8545082211494446,0.5983606576919556,0.3947368562221527,0.820261538028717,0.8123377561569214,0.8545082211494446,0.821576714515686,0.06666156649589539,0.6813725829124451,0.8045240044593811,0.8151658773422241,0.6697247624397278,0.25,0.7783896327018738,0.8650591969490051,0.6842105388641357,0.7288135886192322,0.970588207244873,0.7122302055358887,0.7272727489471436,53,0.8259977102279663,0.7441860437393188,0.07885642349720001,0.8486490845680237,0.6320345997810364,0.6814312934875488,0.7741336822509766,0.8497053384780884,0.375,0.7783896327018738,0.6934109926223755,0.7741336822509766,0.08316308259963989,0.624678373336792,0.6590038537979126,0.749526858329773,0.7356321811676025,0.7647058963775635,0.8124855756759644,0.9150327444076538,0.7058824300765991,0.15000000000000002,0.8259977102279663,0.6758398413658142,0.4166666567325592,0.5954944491386414,0.8045240044593811,0.06550423800945282,0.06786050647497177,0.8497053384780884,0.8123377561569214
no_init_kenn_top_down_adapter_bert_ms,0,gsp7x8d6,0.08545397222042084,0.7899994850158691,1.0,0.8513195514678955,0.4048202931880951,0.8606557250022888,0.25,0.2183908224105835,0.8611111640930176,0.7668898105621338,0.8606557250022888,0.821576714515686,0.07256998121738434,0.7598040103912354,0.7492145895957947,0.8578199148178101,0.752293586730957,0.25,0.727820634841919,0.8747795820236206,0.2702702581882477,0.533923327922821,0.970588207244873,0.7122302055358887,0.4177215099334717,55,0.7970101833343506,0.7674418687820435,0.0827835351228714,0.8513195514678955,0.3752860426902771,0.522772490978241,0.6915477514266968,0.8637948036193848,0.13768115639686584,0.727820634841919,0.7548702359199524,0.6915477514266968,0.08409755676984787,0.3844757676124573,0.3875803053379059,0.8164519667625427,0.5409835577011108,0.42553192377090454,0.7899994850158691,0.888888955116272,0.7500000596046448,0.08,0.7970101833343506,0.765073299407959,0.5277777910232544,0.27522432804107666,0.7492145895957947,0.0730443000793457,0.07210178673267365,0.8637948036193848,0.7668898105621338
