name,instance,run_id,epoch,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_art/macro_types/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/macro_example/precision,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental/micro/precision,test_incremental_only/macro_example/f1,test_incremental_art/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example/recall,test/micro/precision,test_pretraining/micro/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_art-film/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/precision,threshold_incremental,test_incremental_only/micro/recall,test_incremental_art-film/macro_types/recall,test/micro/f1,test/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test/macro_types/f1,test/macro_example/precision,test_incremental_art/macro_types/precision,test_incremental_only/micro/precision,test/macro_example/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_example/precision,test/macro_types/recall,test_incremental/micro/f1,test_incremental/micro/recall,test_incremental_only/macro_types/recall,threshold_pretraining,test_incremental_only/macro_example_exclusive/recall,test_incremental_art-film/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/f1,test/macro_types/precision,test_pretraining/micro/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,aterrcbo,48,0.5970149636268616,0.6866340637207031,0.8466273546218872,0.7619048357009888,0.5970149636268616,0.9237648248672484,0.011482255533337591,0.9035384058952332,0.010227890685200691,0.7027027010917664,0.006958942394703627,0.8205128312110901,0.6794872283935547,0.5263158082962036,0.9048596620559692,0.8862206935882568,0.006958942394703627,0.9035384058952332,0.8903942108154297,0.6734143495559692,0.8104203939437866,0.7537169456481934,0.6896551847457886,0.8461538553237915,0.700383186340332,0.05,0.5263158082962036,0.5263158082962036,0.8903942108154297,0.8776269555091858,0.00922059826552868,0.6896551847457886,0.8466273546218872,0.9237648248672484,0.7111111283302307,0.6896551847457886,0.9048596620559692,0.914214551448822,0.006958942394703627,0.8104203939437866,0.6887416839599609,0.6753246784210205,0.5263158082962036,0.25,0.5263158082962036,0.5970149636268616,0.5263158082962036,0.914214551448822,0.8862206935882568,0.8776269555091858
no_init_box_kenn_bottom_up_adapter_bert_ms,0,j1rebfvk,47,0.5517241358757019,0.6815706491470337,0.8464800715446472,0.7619048357009888,0.5517241358757019,0.9242287278175354,0.011482255533337591,0.904471516609192,0.009784878231585026,0.7384615540504456,0.005567153915762901,0.8205128312110901,0.6282051801681519,0.4210526645183563,0.9043087959289552,0.8884276151657104,0.005567153915762901,0.904471516609192,0.8903957009315491,0.620782732963562,0.808315098285675,0.7210702300071716,0.800000011920929,0.8461538553237915,0.7555555701255798,0.11,0.42105263471603394,0.42105263471603394,0.8903957009315491,0.8767513036727905,0.008524704724550247,0.800000011920929,0.8464800715446472,0.9242287278175354,0.7111111283302307,0.800000011920929,0.9043087959289552,0.9141603112220764,0.005567153915762901,0.808315098285675,0.6760563850402832,0.6233766078948975,0.42105263471603394,0.25,0.42105263471603394,0.5517241358757019,0.42105263471603394,0.9141603112220764,0.8884276151657104,0.8767513036727905
no_init_box_adapter_bert_ms,0,se93wcws,60,0.5970149636268616,0.6866340637207031,0.8466273546218872,0.7619048357009888,0.5970149636268616,0.9237648248672484,0.011482255533337591,0.9035384058952332,0.010227890685200691,0.7027027010917664,0.006958942394703627,0.8205128312110901,0.6794872283935547,0.5263158082962036,0.9048596620559692,0.8862206935882568,0.006958942394703627,0.9035384058952332,0.8903942108154297,0.6734143495559692,0.8104203939437866,0.7537169456481934,0.6896551847457886,0.8461538553237915,0.700383186340332,0.05,0.5263158082962036,0.5263158082962036,0.8903942108154297,0.8776269555091858,0.00922059826552868,0.6896551847457886,0.8466273546218872,0.9237648248672484,0.7111111283302307,0.6896551847457886,0.9048596620559692,0.914214551448822,0.006958942394703627,0.8104203939437866,0.6887416839599609,0.6753246784210205,0.5263158082962036,0.25,0.5263158082962036,0.5970149636268616,0.5263158082962036,0.914214551448822,0.8862206935882568,0.8776269555091858
no_init_kenn_horizontal_adapter_bert_ms,2,33ssbrpr,46,0.3609755933284759,0.6028124690055847,0.87700355052948,0.7250000238418579,0.3609755933284759,0.9099977016448976,0.013048016466200352,0.888816773891449,0.012312917970120909,0.3173076808452606,0.012874042615294456,0.7435897588729858,0.8589743375778198,0.9736842513084412,0.9151821136474608,0.8906347751617432,0.012874042615294456,0.888816773891449,0.894135594367981,0.8586369752883911,0.8637832403182983,0.9073673486709596,0.2215568870306015,0.9615384936332704,0.46443697810173035,0.01,0.9736841917037964,0.9736841917037964,0.894135594367981,0.8995183706283569,0.011656228452920914,0.2215568870306015,0.87700355052948,0.9099977016448976,0.707317054271698,0.2215568870306015,0.9151821136474608,0.912582516670227,0.012874042615294456,0.8637832403182983,0.4631578922271729,0.8571428656578064,0.9736841917037964,0.375,0.9736842513084412,0.3609755933284759,0.9736842513084412,0.912582516670227,0.8906347751617432,0.8995183706283569
no_init_kenn_horizontal_adapter_bert_ms,1,faa9v2be,45,0.46357619762420654,0.6313275098800659,0.8773137331008911,0.7250000238418579,0.46357619762420654,0.9187543392181396,0.01235212292522192,0.8988837599754333,0.011807176284492016,0.4155844151973725,0.012178149074316025,0.7435897588729858,0.8333333730697632,0.921052634716034,0.9148921966552734,0.8923983573913574,0.012178149074316025,0.8988837599754333,0.8989821672439575,0.8323211669921875,0.8627306222915649,0.8700980544090271,0.3097345232963562,0.9102564454078674,0.5085257887840271,0.14,0.921052634716034,0.921052634716034,0.8989821672439575,0.8990805745124817,0.011308280751109123,0.3097345232963562,0.8773137331008911,0.9187543392181396,0.707317054271698,0.3097345232963562,0.9148921966552734,0.916819155216217,0.012178149074316025,0.8627306222915649,0.5541125535964966,0.8311688303947449,0.921052634716034,0.375,0.921052634716034,0.46357619762420654,0.921052634716034,0.916819155216217,0.8923983573913574,0.8990805745124817
no_init_kenn_horizontal_adapter_bert_ms,0,2mur4ntc,54,0.7228915691375732,0.7245854735374451,0.8793761134147644,0.7250000238418579,0.7228915691375732,0.9271631240844728,0.011830201372504234,0.9113530516624452,0.01109081320464611,0.6860465407371521,0.010438413359224796,0.7435897588729858,0.769230842590332,0.7894736528396606,0.9141846895217896,0.8995369672775269,0.010438413359224796,0.9113530516624452,0.9046201109886168,0.7665317058563232,0.8600990176200867,0.8173077702522278,0.6666666865348816,0.8717949390411377,0.6869918704032898,0.66,0.7894737124443054,0.7894737124443054,0.9046201109886168,0.8979859948158264,0.010438413359224796,0.6666666865348816,0.8793761134147644,0.9271631240844728,0.707317054271698,0.6666666865348816,0.9141846895217896,0.9206281304359436,0.010438413359224796,0.8600990176200867,0.7239264249801636,0.7662337422370911,0.7894737124443054,0.375,0.7894736528396606,0.7228915691375732,0.7894736528396606,0.9206281304359436,0.8995369672775269,0.8979859948158264
smart_init_box_kenn_hybrid_adapter_bert_ms,2,dcwmjr4d,16,0.630630612373352,0.7071462273597717,0.8489726185798645,0.7619048357009888,0.630630612373352,0.921920657157898,0.01235212292522192,0.8980138301849365,0.012085530906915665,0.5677965879440308,0.012178149074316025,0.8205128312110901,0.8717949390411377,0.921052634716034,0.9068487882614136,0.882016658782959,0.012178149074316025,0.8980138301849365,0.8893800973892212,0.870782732963562,0.8183150887489319,0.8906106948852539,0.4794520437717438,0.9102564454078674,0.5952816009521484,0.03,0.921052634716034,0.921052634716034,0.8893800973892212,0.8809106945991516,0.011830201372504234,0.4794520437717438,0.8489726185798645,0.921920657157898,0.7111111283302307,0.4794520437717438,0.9068487882614136,0.9143226146697998,0.012178149074316025,0.8183150887489319,0.687179446220398,0.8701298832893372,0.921052634716034,0.25,0.921052634716034,0.630630612373352,0.921052634716034,0.9143226146697998,0.882016658782959,0.8809106945991516
smart_init_box_kenn_top_down_adapter_bert_ms,2,bemmbje5,9,0.6732673048973083,0.7233283519744873,0.8492465615272522,0.7619048357009888,0.6732673048973083,0.9229645133018494,0.012004176154732704,0.8997986912727356,0.01182764396071434,0.6111111044883728,0.011830202303826807,0.8205128312110901,0.8589743971824646,0.8947368264198303,0.9066748023033142,0.8832212686538696,0.011830202303826807,0.8997986912727356,0.8901427388191223,0.8576248288154602,0.8177887797355652,0.8716063499450684,0.5396825671195984,0.884615421295166,0.6253968477249146,0.17,0.8947368264198303,0.8947368264198303,0.8901427388191223,0.8806917667388916,0.011656228452920914,0.5396825671195984,0.8492465615272522,0.9229645133018494,0.7111111283302307,0.5396825671195984,0.9066748023033142,0.91474711894989,0.011830202303826807,0.8177887797355652,0.7135135531425476,0.8571428656578064,0.8947368264198303,0.25,0.8947368264198303,0.6732673048973083,0.8947368264198303,0.91474711894989,0.8832212686538696,0.8806917667388916
smart_init_box_kenn_bottom_up_adapter_bert_ms,2,nf4i820f,17,0.6181817650794983,0.7002429366111755,0.8486223816871643,0.7619048357009888,0.6181817650794983,0.9217467308044434,0.012004176154732704,0.8979910612106323,0.01182764396071434,0.5641025900840759,0.011830202303826807,0.8205128312110901,0.8589743971824646,0.8947368264198303,0.9066748023033142,0.8818720579147339,0.011830202303826807,0.8979910612106323,0.8892572522163391,0.8576248288154602,0.8177887797355652,0.8716063499450684,0.4722222089767456,0.884615421295166,0.5916666984558105,0.03,0.8947368264198303,0.8947368264198303,0.8892572522163391,0.8806917667388916,0.011656228452920914,0.4722222089767456,0.8486223816871643,0.9217467308044434,0.7111111283302307,0.4722222089767456,0.9066748023033142,0.9141486287117004,0.011830202303826807,0.8177887797355652,0.6804124116897583,0.8571428656578064,0.8947368264198303,0.25,0.8947368264198303,0.6181817650794983,0.8947368264198303,0.9141486287117004,0.8818720579147339,0.8806917667388916
smart_init_box_kenn_hybrid_adapter_bert_ms,1,y9abh1ol,5,0.6371681094169617,0.7116418480873108,0.8492608070373535,0.7619048357009888,0.6371681094169617,0.921688675880432,0.012700069695711136,0.8978362679481506,0.012342320755124092,0.5666666626930237,0.012526096776127815,0.8205128312110901,0.884615421295166,0.9473684430122375,0.9069184064865112,0.8820276260375977,0.012526096776127815,0.8978362679481506,0.8894044756889343,0.8839406371116638,0.8188413977622986,0.9095341563224792,0.47999998927116394,0.9358974695205688,0.5955555438995361,0.01,0.9473684430122375,0.9473684430122375,0.8894044756889343,0.8811296224594116,0.012004176154732704,0.47999998927116394,0.8492608070373535,0.921688675880432,0.7111111283302307,0.47999998927116394,0.9069184064865112,0.9142438769340516,0.012526096776127815,0.8188413977622986,0.6903553605079651,0.8831169009208679,0.9473684430122375,0.25,0.9473684430122375,0.6371681094169617,0.9473684430122375,0.9142438769340516,0.8820276260375977,0.8811296224594116
smart_init_box_kenn_top_down_adapter_bert_ms,1,f7mw94sf,5,0.6476190090179443,0.7124348878860474,0.8489485383033752,0.7619048357009888,0.6476190090179443,0.9222686290740968,0.012004176154732704,0.8989943861961365,0.01182764396071434,0.5892857313156128,0.011830202303826807,0.8205128312110901,0.8589743971824646,0.8947368264198303,0.9066748023033142,0.8825768232345581,0.011830202303826807,0.8989943861961365,0.8897489309310913,0.8576248288154602,0.8177887797355652,0.8716063499450684,0.5074626803398132,0.884615421295166,0.609286904335022,0.1,0.8947368264198303,0.8947368264198303,0.8897489309310913,0.8806917667388916,0.011656228452920914,0.5074626803398132,0.8489485383033752,0.9222686290740968,0.7111111283302307,0.5074626803398132,0.9066748023033142,0.9144052267074584,0.011830202303826807,0.8177887797355652,0.6984127163887024,0.8571428656578064,0.8947368264198303,0.25,0.8947368264198303,0.6476190090179443,0.8947368264198303,0.9144052267074584,0.8825768232345581,0.8806917667388916
smart_init_box_kenn_bottom_up_adapter_bert_ms,1,dhwnio9o,5,0.6371681094169617,0.7116418480873108,0.8492608070373535,0.7619048357009888,0.6371681094169617,0.921688675880432,0.012700069695711136,0.8978362679481506,0.012342320755124092,0.5666666626930237,0.012526096776127815,0.8205128312110901,0.884615421295166,0.9473684430122375,0.9069184064865112,0.8820276260375977,0.012526096776127815,0.8978362679481506,0.8894044756889343,0.8839406371116638,0.8188413977622986,0.9095341563224792,0.47999998927116394,0.9358974695205688,0.5955555438995361,0.01,0.9473684430122375,0.9473684430122375,0.8894044756889343,0.8811296224594116,0.012004176154732704,0.47999998927116394,0.8492608070373535,0.921688675880432,0.7111111283302307,0.47999998927116394,0.9069184064865112,0.9142438769340516,0.012526096776127815,0.8188413977622986,0.6903553605079651,0.8831169009208679,0.9473684430122375,0.25,0.9473684430122375,0.6371681094169617,0.9473684430122375,0.9142438769340516,0.8820276260375977,0.8811296224594116
smart_init_box_kenn_hybrid_adapter_bert_ms,0,c5mp9q92,5,0.5999999642372131,0.700978696346283,0.847222089767456,0.7619048357009888,0.5999999642372131,0.9243447184562684,0.010960334911942482,0.9045146703720092,0.009806614369153976,0.746268630027771,0.006263048388063908,0.8205128312110901,0.6538461446762085,0.4736842215061188,0.9047726392745972,0.8887912034988403,0.006263048388063908,0.9045146703720092,0.8906423449516296,0.6470985412597656,0.8093677163124084,0.7226720452308655,0.8181818127632141,0.8076923489570618,0.7646464705467224,0.95,0.4736842215061188,0.4736842215061188,0.8906423449516296,0.8771891593933105,0.008872651495039463,0.8181818127632141,0.847222089767456,0.9243447184562684,0.7111111283302307,0.8181818127632141,0.9047726392745972,0.9144540429115297,0.006263048388063908,0.8093677163124084,0.6944444179534912,0.649350643157959,0.4736842215061188,0.25,0.4736842215061188,0.5999999642372131,0.4736842215061188,0.9144540429115297,0.8887912034988403,0.8771891593933105
smart_init_box_kenn_top_down_adapter_bert_ms,0,4667ocl7,5,0.5762711763381958,0.6914016008377075,0.8468551635742188,0.7619048357009888,0.5762711763381958,0.9243447184562684,0.010960334911942482,0.9044930934906006,0.009699410758912563,0.7424242496490479,0.0059151011519134045,0.8205128312110901,0.6410256624221802,0.4473684430122375,0.9045987129211426,0.8886181116104126,0.0059151011519134045,0.9044930934906006,0.8905190825462341,0.6339406371116638,0.8088414072990417,0.7147719264030457,0.8095238208770752,0.8076923489570618,0.7603174448013306,0.96,0.4473684132099152,0.4473684132099152,0.8905190825462341,0.8769702315330505,0.008698677644133568,0.8095238208770752,0.8468551635742188,0.9243447184562684,0.7111111283302307,0.8095238208770752,0.9045987129211426,0.91436505317688,0.0059151011519134045,0.8088414072990417,0.6853146553039551,0.6363636255264282,0.4473684132099152,0.25,0.4473684430122375,0.5762711763381958,0.4473684430122375,0.91436505317688,0.8886181116104126,0.8769702315330505
smart_init_box_kenn_bottom_up_adapter_bert_ms,0,sbi6s5uf,5,0.5762711763381958,0.6914016008377075,0.8468551635742188,0.7619048357009888,0.5762711763381958,0.9243447184562684,0.010960334911942482,0.9044930934906006,0.009699410758912563,0.7424242496490479,0.0059151011519134045,0.8205128312110901,0.6410256624221802,0.4473684430122375,0.9045987129211426,0.8886181116104126,0.0059151011519134045,0.9044930934906006,0.8905190825462341,0.6339406371116638,0.8088414072990417,0.7147719264030457,0.8095238208770752,0.8076923489570618,0.7603174448013306,0.78,0.4473684132099152,0.4473684132099152,0.8905190825462341,0.8769702315330505,0.008698677644133568,0.8095238208770752,0.8468551635742188,0.9243447184562684,0.7111111283302307,0.8095238208770752,0.9045987129211426,0.91436505317688,0.0059151011519134045,0.8088414072990417,0.6853146553039551,0.6363636255264282,0.4473684132099152,0.25,0.4473684430122375,0.5762711763381958,0.4473684430122375,0.91436505317688,0.8886181116104126,0.8769702315330505
smart_init_box_adapter_bert_ms,2,c8d8zv9y,16,0.6238532662391663,0.7025666236877441,0.8486839532852173,0.7619048357009888,0.6238532662391663,0.9217467308044434,0.012004176154732704,0.8981915712356567,0.01182764396071434,0.568965494632721,0.011830202303826807,0.8205128312110901,0.8589743971824646,0.8947368264198303,0.9066748023033142,0.8820050954818726,0.011830202303826807,0.8981915712356567,0.8893555998802185,0.8576248288154602,0.8177887797355652,0.8716063499450684,0.47887325286865234,0.884615421295166,0.5949921607971191,0.18000000000000002,0.8947368264198303,0.8947368264198303,0.8893555998802185,0.8806917667388916,0.011656228452920914,0.47887325286865234,0.8486839532852173,0.9217467308044434,0.7111111283302307,0.47887325286865234,0.9066748023033142,0.9141486287117004,0.011830202303826807,0.8177887797355652,0.6839378476142883,0.8571428656578064,0.8947368264198303,0.25,0.8947368264198303,0.6238532662391663,0.8947368264198303,0.9141486287117004,0.8820050954818726,0.8806917667388916
