name,instance,run_id,test/micro/precision,test/macro_example/recall,test/macro_types/precision,test_incremental_art-film/macro_types/recall,test_incremental/micro/recall,test_incremental/macro_types/f1,test_incremental_art/macro_types/precision,test/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,epoch,test/macro_types/f1,threshold_incremental,test_pretraining/micro/f1,test_incremental_art-film/macro_types/f1,test_incremental_art-film/macro_types/precision,test_pretraining/micro/recall,test_incremental/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test/macro_example/f1,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/micro/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental/micro/f1,test_incremental/macro_types/recall,test_incremental_art/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,threshold_pretraining,test_incremental/macro_example/f1,test_incremental_art/macro_types/f1,test_incremental/macro_example/recall
no_init_box_adapter_bert_ms,2,lzo14564,0.8844209909439087,0.9070227742195128,0.8774625658988953,0.9473684430122375,0.8831169009208679,0.6233550906181335,0.7111111283302307,0.8811296224594116,0.012700069695711136,0.9095341563224792,0.012526096776127815,0.9102064967155457,0.8774625658988953,0.251748263835907,0.9473684430122375,91,0.8471391201019287,0.02,0.8827722668647766,0.3977900743484497,0.251748263835907,0.8811296224594116,0.3617021143436432,0.012526096776127815,0.251748263835907,0.9358974695205688,0.9086118340492249,0.012526096776127815,0.9102064967155457,0.9473684430122375,0.8827722668647766,0.8188413977622986,0.8844209909439087,0.9473684430122375,0.4814296960830689,0.9473684430122375,0.3977900743484497,0.9070227742195128,0.3977900743484497,0.8471391201019287,0.9086118340492249,0.8188413977622986,0.5132075548171997,0.8839406371116638,0.8205128312110901,0.884615421295166,0.9473684430122375,0.25,0.012342320755124092,0.7619048357009888,0.012004176154732704
no_init_box_kenn_top_down_adapter_bert_ms,0,hnzz8kg6,0.8997986912727356,0.9066748023033142,0.8832212686538696,0.8947368264198303,0.8571428656578064,0.7233283519744873,0.7111111283302307,0.8806917667388916,0.012004176154732704,0.8716063499450684,0.011830202303826807,0.9226166009902954,0.8832212686538696,0.5396825671195984,0.8947368264198303,44,0.8492465615272522,0.04,0.8901427388191223,0.6732673048973083,0.5396825671195984,0.8806917667388916,0.6111111044883728,0.011830202303826807,0.5396825671195984,0.884615421295166,0.914576292037964,0.011830202303826807,0.9226166009902954,0.8947368264198303,0.8901427388191223,0.8177887797355652,0.8997986912727356,0.8947368264198303,0.6253968477249146,0.8947368264198303,0.6732673048973083,0.9066748023033142,0.6732673048973083,0.8492465615272522,0.914576292037964,0.8177887797355652,0.7135135531425476,0.8576248288154602,0.8205128312110901,0.8589743971824646,0.8947368264198303,0.25,0.01182764396071434,0.7619048357009888,0.011656228452920914
no_init_box_kenn_bottom_up_adapter_bert_ms,0,g5nkg21v,0.9001790285110474,0.9065008163452148,0.883427619934082,0.8684210777282715,0.8441558480262756,0.722000241279602,0.7111111283302307,0.8804728388786316,0.011656228452920914,0.8525159955024719,0.011482255533337591,0.9227325320243835,0.883427619934082,0.550000011920929,0.8684210181236267,43,0.8490580320358276,0.02,0.8902168869972229,0.6734694242477417,0.550000011920929,0.8804728388786316,0.6190476417541504,0.011482255533337591,0.550000011920929,0.8589743971824646,0.914544641971588,0.011482254602015018,0.9227325320243835,0.8684210181236267,0.8902168869972229,0.8172624707221985,0.9001790285110474,0.8684210777282715,0.6305555701255798,0.8684210181236267,0.6734694242477417,0.9065008163452148,0.6734694242477417,0.8490580320358276,0.914544641971588,0.8172624707221985,0.7142857909202576,0.8444669246673584,0.8205128312110901,0.8461538553237915,0.8684210777282715,0.25,0.011568588204681872,0.7619048357009888,0.011482254602015018
no_init_box_adapter_bert_ms,1,6mu5ax7i,0.8754897713661194,0.9067618250846864,0.8759759664535522,0.8684210777282715,0.8441558480262756,0.5822269916534424,0.7111111283302307,0.8804728388786316,0.01235212292522192,0.87703537940979,0.011482255533337591,0.9017397165298462,0.8759759664535522,0.17741934955120087,0.8684210777282715,21,0.8456012010574341,0.03,0.8779742121696472,0.2946428656578064,0.17741934955120087,0.8804728388786316,0.28138527274131775,0.011482255533337591,0.17741934955120087,0.9102564454078674,0.90424382686615,0.011482254602015018,0.9017397165298462,0.8684210777282715,0.8779742121696472,0.8172624707221985,0.8754897713661194,0.8684210777282715,0.4442652463912964,0.8684210777282715,0.2946428656578064,0.9067618250846864,0.2946428656578064,0.8456012010574341,0.90424382686615,0.8172624707221985,0.4220779240131378,0.8444669246673584,0.8205128312110901,0.8461538553237915,0.8684210777282715,0.25,0.011901316232979298,0.7619048357009888,0.011482255533337591
no_init_box_adapter_bert_ms,0,61bqooti,0.8982142806053162,0.9068487882614136,0.8821498155593872,0.921052634716034,0.8701298832893372,0.7094901204109192,0.7111111283302307,0.8809106945991516,0.01235212292522192,0.8906106948852539,0.012178149074316025,0.9218047261238098,0.8821498155593872,0.4861111044883728,0.921052634716034,25,0.8490342497825623,0.02,0.8894783854484558,0.6363636255264282,0.4861111044883728,0.8809106945991516,0.5726495981216431,0.012178149074316025,0.4861111044883728,0.9102564454078674,0.9142655730247498,0.012178149074316025,0.9218047261238098,0.921052634716034,0.8894783854484558,0.8183150887489319,0.8982142806053162,0.921052634716034,0.5986111164093018,0.921052634716034,0.6363636255264282,0.9068487882614136,0.6363636255264282,0.8490342497825623,0.9142655730247498,0.8183150887489319,0.6907216906547546,0.870782732963562,0.8205128312110901,0.8717949390411377,0.921052634716034,0.25,0.012085530906915665,0.7619048357009888,0.011830201372504234
no_init_kenn_horizontal_adapter_bert_ms,2,owesrnik,0.9044052958488464,0.9147181510925292,0.8942988514900208,0.8947368264198303,0.8181818127632141,0.6624290347099304,0.707317054271698,0.8988616466522217,0.012004176154732704,0.8513592481613159,0.011830202303826807,0.9232196807861328,0.8942988514900208,0.4047619104385376,0.8947368264198303,30,0.877958357334137,0.34,0.9016249179840088,0.5573770403862,0.4047619104385376,0.8988616466522217,0.5040000081062317,0.011830202303826807,0.4047619104385376,0.884615421295166,0.9189492464065552,0.011830202303826807,0.9232196807861328,0.8947368264198303,0.9016249179840088,0.8622042536735535,0.9044052958488464,0.8947368264198303,0.5560394525527954,0.8947368264198303,0.5573770403862,0.9147181510925292,0.5573770403862,0.877958357334137,0.9189492464065552,0.8622042536735535,0.6237623691558838,0.8191633224487305,0.7435897588729858,0.8205128908157349,0.8947368264198303,0.375,0.01155289076268673,0.7250000238418579,0.011134307831525804
no_init_kenn_horizontal_adapter_bert_ms,1,mlbk1r3d,0.8322868347167969,0.9151821136474608,0.8877421021461487,0.9736841917037964,0.8571428656578064,0.5383760333061218,0.707317054271698,0.8995183706283569,0.013048016466200352,0.9073673486709596,0.012874042615294456,0.8602412343025208,0.8877421021461487,0.07692307978868484,0.9736842513084412,8,0.8755987882614136,0.060000000000000005,0.8645975589752197,0.14258188009262085,0.07692307978868484,0.8995183706283569,0.12643678486347198,0.012874042615294456,0.07692307978868484,0.9615384936332704,0.8868616223335266,0.012874042615294456,0.8602412343025208,0.9736842513084412,0.8645975589752197,0.8637832403182983,0.8322868347167969,0.9736841917037964,0.3921200633049011,0.9736842513084412,0.14258188009262085,0.9151821136474608,0.14258188009262085,0.8755987882614136,0.8868616223335266,0.8637832403182983,0.22036728262901303,0.8586369752883911,0.7435897588729858,0.8589743375778198,0.9736841917037964,0.375,0.012312917970120909,0.7250000238418579,0.011656228452920914
no_init_kenn_horizontal_adapter_bert_ms,0,2f6188u6,0.8973126411437988,0.9148921966552734,0.8919887542724609,0.921052634716034,0.8311688303947449,0.6233760118484497,0.707317054271698,0.8990805745124817,0.01235212292522192,0.8700980544090271,0.012178149074316025,0.9173045754432678,0.8919887542724609,0.28925618529319763,0.921052634716034,17,0.877115786075592,0.09,0.8981958031654358,0.44025158882141113,0.28925618529319763,0.8990805745124817,0.395061731338501,0.012178149074316025,0.28925618529319763,0.9102564454078674,0.916096806526184,0.012178149074316025,0.9173045754432678,0.921052634716034,0.8981958031654358,0.8627306222915649,0.8973126411437988,0.921052634716034,0.4982866048812866,0.921052634716034,0.44025158882141113,0.9148921966552734,0.44025158882141113,0.877115786075592,0.916096806526184,0.8627306222915649,0.5355648398399353,0.8323211669921875,0.7435897588729858,0.8333333730697632,0.921052634716034,0.375,0.011807176284492016,0.7250000238418579,0.011308280751109123
smart_init_box_kenn_hybrid_adapter_bert_ms,2,2wkbtaa7,0.8980138301849365,0.9068487882614136,0.882016658782959,0.921052634716034,0.8701298832893372,0.7071462273597717,0.7111111283302307,0.8809106945991516,0.01235212292522192,0.8906106948852539,0.012178149074316025,0.921920657157898,0.882016658782959,0.4794520437717438,0.921052634716034,11,0.8489726185798645,0.06999999999999999,0.8893800973892212,0.630630612373352,0.4794520437717438,0.8809106945991516,0.5677965879440308,0.012178149074316025,0.4794520437717438,0.9102564454078674,0.9143226146697998,0.012178149074316025,0.921920657157898,0.921052634716034,0.8893800973892212,0.8183150887489319,0.8980138301849365,0.921052634716034,0.5952816009521484,0.921052634716034,0.630630612373352,0.9068487882614136,0.630630612373352,0.8489726185798645,0.9143226146697998,0.8183150887489319,0.687179446220398,0.870782732963562,0.8205128312110901,0.8717949390411377,0.921052634716034,0.25,0.012085530906915665,0.7619048357009888,0.011830201372504234
smart_init_box_kenn_top_down_adapter_bert_ms,2,wh69h6cc,0.8984148502349854,0.9068487882614136,0.882286787033081,0.921052634716034,0.8701298832893372,0.7118890285491943,0.7111111283302307,0.8809106945991516,0.01235212292522192,0.8906106948852539,0.012178149074316025,0.9222686290740968,0.882286787033081,0.49295774102211,0.921052634716034,9,0.8490977883338928,0.28,0.8895767331123352,0.6422017812728882,0.49295774102211,0.8809106945991516,0.5775862336158752,0.012178149074316025,0.49295774102211,0.9102564454078674,0.91449373960495,0.012178149074316025,0.9222686290740968,0.921052634716034,0.8895767331123352,0.8183150887489319,0.8984148502349854,0.921052634716034,0.6020344495773315,0.921052634716034,0.6422017812728882,0.9068487882614136,0.6422017812728882,0.8490977883338928,0.91449373960495,0.8183150887489319,0.6943005323410034,0.870782732963562,0.8205128312110901,0.8717949390411377,0.921052634716034,0.25,0.012085530906915665,0.7619048357009888,0.011830201372504234
smart_init_box_kenn_bottom_up_adapter_bert_ms,2,kt4wn4d3,0.8972129225730896,0.9068487882614136,0.8815184831619263,0.921052634716034,0.8701298832893372,0.6982842087745667,0.7111111283302307,0.8809106945991516,0.01235212292522192,0.8906106948852539,0.012178149074316025,0.92122483253479,0.8815184831619263,0.4545454680919647,0.921052634716034,12,0.8487417101860046,0.060000000000000005,0.8889870643615723,0.6086956858634949,0.4545454680919647,0.8809106945991516,0.5491803288459778,0.012178149074316025,0.4545454680919647,0.9102564454078674,0.91398024559021,0.012178149074316025,0.92122483253479,0.921052634716034,0.8889870643615723,0.8183150887489319,0.8972129225730896,0.921052634716034,0.5828282833099365,0.921052634716034,0.6086956858634949,0.9068487882614136,0.6086956858634949,0.8487417101860046,0.91398024559021,0.8183150887489319,0.6733668446540833,0.870782732963562,0.8205128312110901,0.8717949390411377,0.921052634716034,0.25,0.012085530906915665,0.7619048357009888,0.011830201372504234
smart_init_box_kenn_hybrid_adapter_bert_ms,1,tq3d1ze7,0.8901171684265137,0.9070923328399658,0.8788623809814453,0.9736841917037964,0.8961039185523987,0.6555026173591614,0.7111111283302307,0.8813484907150269,0.013048017397522926,0.9283819198608398,0.012874044477939606,0.9153096675872804,0.8788623809814453,0.321739137172699,0.9736842513084412,11,0.84807288646698,0.03,0.8857110738754272,0.4836601316928863,0.321739137172699,0.8813484907150269,0.4312500059604645,0.012874044477939606,0.321739137172699,0.9615384936332704,0.9111825227737428,0.012874044477939606,0.9153096675872804,0.9736842513084412,0.8857110738754272,0.8193677663803101,0.8901171684265137,0.9736841917037964,0.5164251327514648,0.9736842513084412,0.4836601316928863,0.9070923328399658,0.4836601316928863,0.84807288646698,0.9111825227737428,0.8193677663803101,0.5822784304618835,0.8970985412597656,0.8205128312110901,0.8974359035491943,0.9736841917037964,0.25,0.012598085217177868,0.7619048357009888,0.012178149074316025
smart_init_box_kenn_top_down_adapter_bert_ms,1,75w67ax4,0.8905109763145447,0.9070923328399658,0.8789762854576111,0.9736841917037964,0.8961039185523987,0.6577916741371155,0.7111111283302307,0.8813484907150269,0.013048017397522926,0.9283819198608398,0.012874044477939606,0.915657639503479,0.8789762854576111,0.32743361592292786,0.9736842513084412,10,0.8481259942054749,0.15000000000000002,0.8859060406684875,0.49006620049476624,0.32743361592292786,0.8813484907150269,0.43670886754989624,0.012874044477939606,0.32743361592292786,0.9615384936332704,0.9113548398017884,0.012874044477939606,0.915657639503479,0.9736842513084412,0.8859060406684875,0.8193677663803101,0.8905109763145447,0.9736841917037964,0.5192723870277405,0.9736842513084412,0.49006620049476624,0.9070923328399658,0.49006620049476624,0.8481259942054749,0.9113548398017884,0.8193677663803101,0.5872340798377991,0.8970985412597656,0.8205128312110901,0.8974359035491943,0.9736841917037964,0.25,0.012598085217177868,0.7619048357009888,0.012178149074316025
smart_init_box_kenn_bottom_up_adapter_bert_ms,1,fytpuuh2,0.8895272016525269,0.9070923328399658,0.8786988258361816,0.9736841917037964,0.8961039185523987,0.652198314666748,0.7111111283302307,0.8813484907150269,0.013048017397522926,0.9283819198608398,0.012874044477939606,0.914787769317627,0.8786988258361816,0.31355932354927063,0.9736842513084412,12,0.8479967713356018,0.03,0.8854189515113831,0.4743589758872986,0.31355932354927063,0.8813484907150269,0.42331287264823914,0.012874044477939606,0.31355932354927063,0.9615384936332704,0.9109237790107728,0.012874044477939606,0.914787769317627,0.9736842513084412,0.8854189515113831,0.8193677663803101,0.8895272016525269,0.9736841917037964,0.5123352408409119,0.9736842513084412,0.4743589758872986,0.9070923328399658,0.4743589758872986,0.8479967713356018,0.9109237790107728,0.8193677663803101,0.5750000476837158,0.8970985412597656,0.8205128312110901,0.8974359035491943,0.9736841917037964,0.25,0.012598085217177868,0.7619048357009888,0.012178149074316025
smart_init_box_kenn_hybrid_adapter_bert_ms,0,t2dclia9,0.8946198225021362,0.9068487882614136,0.8802053928375244,0.921052634716034,0.8701298832893372,0.6741783618927002,0.7111111283302307,0.8809106945991516,0.01235212292522192,0.8906106948852539,0.012178149074316025,0.9189631938934326,0.8802053928375244,0.3888888955116272,0.921052634716034,14,0.8481327295303345,0.02,0.887712299823761,0.546875,0.3888888955116272,0.8809106945991516,0.4962962865829468,0.012178149074316025,0.3888888955116272,0.9102564454078674,0.9128658175468444,0.012178149074316025,0.9189631938934326,0.921052634716034,0.887712299823761,0.8183150887489319,0.8946198225021362,0.921052634716034,0.550000011920929,0.921052634716034,0.546875,0.9068487882614136,0.546875,0.8481327295303345,0.9128658175468444,0.8183150887489319,0.6320754289627075,0.870782732963562,0.8205128312110901,0.8717949390411377,0.921052634716034,0.25,0.012085530906915665,0.7619048357009888,0.011830201372504234
smart_init_box_kenn_top_down_adapter_bert_ms,0,5uog1qyn,0.8948187828063965,0.9068487882614136,0.8802927732467651,0.921052634716034,0.8701298832893372,0.6758172512054443,0.7111111283302307,0.8809106945991516,0.01235212292522192,0.8906106948852539,0.012178149074316025,0.9191371202468872,0.8802927732467651,0.3932584226131439,0.921052634716034,14,0.848173201084137,0.13,0.8878103494644165,0.5511811375617981,0.3932584226131439,0.8809106945991516,0.5,0.012178149074316025,0.3932584226131439,0.9102564454078674,0.9129515886306764,0.012178149074316025,0.9191371202468872,0.921052634716034,0.8878103494644165,0.8183150887489319,0.8948187828063965,0.921052634716034,0.5521847605705261,0.921052634716034,0.5511811375617981,0.9068487882614136,0.5511811375617981,0.848173201084137,0.9129515886306764,0.8183150887489319,0.6350710988044739,0.870782732963562,0.8205128312110901,0.8717949390411377,0.921052634716034,0.25,0.012085530906915665,0.7619048357009888,0.011830201372504234
