name,instance,run_id,threshold_pretraining,test_incremental/macro_types/f1,test_incremental/macro_example/precision,test/micro/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_art/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/macro_types/f1,test/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,epoch,test_incremental/micro/f1,test_incremental/macro_example/recall,test_incremental_art/macro_types/f1,test_pretraining/macro_types/recall,test/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/micro/f1,test_incremental/micro/recall,test_incremental_art/macro_types/recall,test_pretraining/macro_example/precision,test_pretraining/micro/precision,test/macro_types/precision,test_incremental_art-film/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test/micro/f1,test/micro/recall,test_incremental_art-film/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental_art-film/macro_types/precision,test_incremental_only/macro_example/f1,test/macro_example/precision,test_pretraining/macro_example/recall
no_init_box_kenn_hybrid_adapter_bert_ms,0,7vikft7c,0.25,0.7192276120185852,0.011830202303826807,0.9028558731079102,0.9147198796272278,0.8857609033584595,0.6842105388641357,0.7111111283302307,0.6666666865348816,0.7564102411270142,0.8481365442276001,0.8135782480239868,0.905683159828186,0.6753246784210205,0.6888889074325562,0.6842105388641357,32,0.7204968333244324,0.0102644395083189,0.7619048357009888,0.8135782480239868,0.9147198796272278,0.8100141286849976,0.8907377123832703,0.7532467246055603,0.8205128312110901,0.923938810825348,0.9028558731079102,0.8857609033584595,0.6753246784210205,0.6842105388641357,0.04,0.6904761791229248,0.009046625345945358,0.8481365442276001,0.7523616552352905,0.8907377123832703,0.8789404630661011,0.6842105388641357,0.6842105388641357,0.8717949390411377,0.8789404630661011,0.6753246784210205,0.010991841554641724,0.6842105388641357,0.6666666865348816,0.009046625345945358,0.6666666865348816,0.009046625345945358,0.923938810825348,0.905683159828186
no_init_box_kenn_top_down_adapter_bert_ms,0,dki5t3iy,0.25,0.7205306887626648,0.011830202303826807,0.9032403230667114,0.9147743582725524,0.8863164782524109,0.6578947305679321,0.7111111283302307,0.6944444179534912,0.7435897588729858,0.8481048941612244,0.8130519390106201,0.9055671691894532,0.6756756901741028,0.7027777433395386,0.6578947305679321,34,0.7215189933776855,0.01009046658873558,0.7619048357009888,0.8130519390106201,0.9147743582725524,0.8026048541069031,0.8908122181892395,0.7402597665786743,0.8205128312110901,0.924170732498169,0.9032403230667114,0.8863164782524109,0.6756756901741028,0.6578947305679321,0.25,0.7037037014961243,0.008698677644133568,0.8481048941612244,0.7392038106918335,0.8908122181892395,0.8787215352058411,0.6578947305679321,0.6578947305679321,0.8717949390411377,0.8787215352058411,0.6756756901741028,0.010891296900808811,0.6578947305679321,0.6944444179534912,0.008698677644133568,0.6944444179534912,0.008698677644133568,0.924170732498169,0.9055671691894532
no_init_box_adapter_bert_ms,1,vfkgzz3x,0.25,0.5663349032402039,0.012352121993899344,0.8631194829940796,0.8982481360435486,0.8751153349876404,0.8947368264198303,0.7111111283302307,0.13438735902309418,0.8589743971824646,0.8454814553260803,0.8177887797355652,0.906744420528412,0.2336769998073578,0.42274925112724304,0.8947368264198303,38,0.35199999809265137,0.011656228452920914,0.7619048357009888,0.8177887797355652,0.8982481360435486,0.8838722109794617,0.8718170523643494,0.8571428656578064,0.8205128312110901,0.889909565448761,0.8631194829940796,0.8751153349876404,0.2336769998073578,0.8947368264198303,0.01,0.2214765101671219,0.011830202303826807,0.8454814553260803,0.8576248288154602,0.8718170523643494,0.8806917667388916,0.8947368264198303,0.8947368264198303,0.9102564454078674,0.8806917667388916,0.2336769998073578,0.01199408993124962,0.8947368264198303,0.13438735902309418,0.011830202303826807,0.13438735902309418,0.011830202303826807,0.889909565448761,0.906744420528412
no_init_box_kenn_bottom_up_adapter_bert_ms,0,1hc0nh01,0.25,0.7289263606071472,0.011830202303826807,0.9032620787620544,0.9148335456848145,0.8864816427230835,0.6842105388641357,0.7111111283302307,0.7027027010917664,0.7564102411270142,0.8484667539596558,0.8135782480239868,0.905683159828186,0.6933333277702332,0.7069069147109985,0.6842105388641357,32,0.7295597791671753,0.0102644395083189,0.7619048357009888,0.8135782480239868,0.9148335456848145,0.8100141286849976,0.8909353613853455,0.7532467246055603,0.8205128312110901,0.924170732498169,0.9032620787620544,0.8864816427230835,0.6933333277702332,0.6842105388641357,0.04,0.707317054271698,0.009046625345945358,0.8484667539596558,0.7523616552352905,0.8909353613853455,0.8789404630661011,0.6842105388641357,0.6842105388641357,0.8717949390411377,0.8789404630661011,0.6933333277702332,0.010991841554641724,0.6842105388641357,0.7027027010917664,0.009046625345945358,0.7027027010917664,0.009046625345945358,0.924170732498169,0.905683159828186
no_init_box_adapter_bert_ms,0,kb8ubs3f,0.25,0.7257091999053955,0.011830202303826807,0.9034436345100404,0.9147743582725524,0.8867133259773254,0.6578947305679321,0.7111111283302307,0.7142857313156128,0.7435897588729858,0.8482865691184998,0.8130519390106201,0.9055671691894532,0.6849315166473389,0.7126984596252441,0.6578947305679321,32,0.7261146306991577,0.01009046658873558,0.7619048357009888,0.8130519390106201,0.9147743582725524,0.8026048541069031,0.8909111618995667,0.7402597665786743,0.8205128312110901,0.924170732498169,0.9034436345100404,0.8867133259773254,0.6849315166473389,0.6578947305679321,0.22,0.7124999761581421,0.008698677644133568,0.8482865691184998,0.7392038106918335,0.8909111618995667,0.8787215352058411,0.6578947305679321,0.6578947305679321,0.8717949390411377,0.8787215352058411,0.6849315166473389,0.010891296900808811,0.6578947305679321,0.7142857313156128,0.008698677644133568,0.7142857313156128,0.008698677644133568,0.924170732498169,0.9055671691894532
no_init_kenn_horizontal_adapter_bert_ms,2,2pa3pcrx,0.375,0.5970369577407837,0.012700069695711136,0.8886004686355591,0.912350296974182,0.8905149698257446,0.9473684430122375,0.707317054271698,0.21556885540485385,0.8461538553237915,0.8766741156578064,0.8632569313049316,0.9150081872940063,0.35121950507164,0.4614429473876953,0.9473684430122375,31,0.456140398979187,0.011482255533337591,0.7250000238418579,0.8632569313049316,0.912350296974182,0.8887659311294556,0.893917977809906,0.8441558480262756,0.7435897588729858,0.9097077250480652,0.8886004686355591,0.8905149698257446,0.35121950507164,0.9473684430122375,0.02,0.3125,0.012526096776127815,0.8766741156578064,0.8454791307449341,0.893917977809906,0.8992995023727417,0.9473684430122375,0.9473684430122375,0.9358974695205688,0.8992995023727417,0.35121950507164,0.012060497887432575,0.9473684430122375,0.21556885540485385,0.012526096776127815,0.21556885540485385,0.012526096776127815,0.9097077250480652,0.9150081872940063
no_init_kenn_horizontal_adapter_bert_ms,1,3t1bb6oj,0.375,0.5975801944732666,0.012700069695711136,0.8887927532196045,0.912962019443512,0.8905409574508667,0.9473684430122375,0.707317054271698,0.21686747670173645,0.8461538553237915,0.876686692237854,0.8632569313049316,0.915066123008728,0.3529411852359772,0.4620922803878784,0.9473684430122375,26,0.4577465057373047,0.011482254602015018,0.7250000238418579,0.8632569313049316,0.912962019443512,0.8887659311294556,0.8940152525901794,0.8441558480262756,0.7435897588729858,0.9108675718307496,0.8887927532196045,0.8905409574508667,0.3529411852359772,0.9473684430122375,0.02,0.3140096664428711,0.012526096776127815,0.876686692237854,0.8454791307449341,0.8940152525901794,0.8992995023727417,0.9473684430122375,0.9473684430122375,0.9358974695205688,0.8992995023727417,0.3529411852359772,0.012060497887432575,0.9473684430122375,0.21686747670173645,0.012526096776127815,0.21686747670173645,0.012526096776127815,0.9108675718307496,0.915066123008728
no_init_kenn_horizontal_adapter_bert_ms,0,3pr1f2w9,0.375,0.6805276870727539,0.011656228452920914,0.9075630307197572,0.9199737310409546,0.8959006071090698,0.8421052694320679,0.707317054271698,0.4848484992980957,0.7948718070983887,0.8781825304031372,0.8611516356468201,0.914474606513977,0.6153846383094788,0.5960828065872192,0.8421052694320679,29,0.6630434989929199,0.010786360129714012,0.7250000238418579,0.8611516356468201,0.9199737310409546,0.8256807923316956,0.902970254421234,0.7922077775001526,0.7435897588729858,0.9255393743515016,0.9075630307197572,0.8959006071090698,0.6153846383094788,0.8421052694320679,0.38,0.5700934529304504,0.011134307831525804,0.8781825304031372,0.7928475141525269,0.902970254421234,0.8984237909317017,0.8421052694320679,0.8421053290367126,0.8589743971824646,0.8984237909317017,0.6153846383094788,0.011204435490071774,0.8421052694320679,0.4848484992980957,0.011134307831525804,0.4848484992980957,0.011134307831525804,0.9255393743515016,0.914474606513977
smart_init_box_kenn_hybrid_adapter_bert_ms,2,xcegvmpx,0.25,0.7220749258995056,0.01235212292522192,0.8992179036140442,0.9147501587867736,0.882875382900238,0.921052634716034,0.7111111283302307,0.5223880410194397,0.8717949390411377,0.8493701815605164,0.8183150887489319,0.9068487882614136,0.6666666269302368,0.6167495846748352,0.921052634716034,8,0.7089946269989014,0.011830201372504234,0.7619048357009888,0.8183150887489319,0.9147501587867736,0.8906106948852539,0.8899701237678528,0.8701298832893372,0.8205128312110901,0.92279052734375,0.8992179036140442,0.882875382900238,0.6666666269302368,0.921052634716034,0.03,0.5982142686843872,0.012178149074316025,0.8493701815605164,0.870782732963562,0.8899701237678528,0.8809106945991516,0.921052634716034,0.921052634716034,0.9102564454078674,0.8809106945991516,0.6666666269302368,0.012085530906915665,0.921052634716034,0.5223880410194397,0.012178149074316025,0.5223880410194397,0.012178149074316025,0.92279052734375,0.9068487882614136
smart_init_box_kenn_top_down_adapter_bert_ms,2,lodnzwj6,0.25,0.7220749258995056,0.01235212292522192,0.8992179036140442,0.9147501587867736,0.882875382900238,0.921052634716034,0.7111111283302307,0.5223880410194397,0.8717949390411377,0.8493701815605164,0.8183150887489319,0.9068487882614136,0.6666666269302368,0.6167495846748352,0.921052634716034,8,0.7089946269989014,0.011830201372504234,0.7619048357009888,0.8183150887489319,0.9147501587867736,0.8906106948852539,0.8899701237678528,0.8701298832893372,0.8205128312110901,0.92279052734375,0.8992179036140442,0.882875382900238,0.6666666269302368,0.921052634716034,0.18000000000000002,0.5982142686843872,0.012178149074316025,0.8493701815605164,0.870782732963562,0.8899701237678528,0.8809106945991516,0.921052634716034,0.921052634716034,0.9102564454078674,0.8809106945991516,0.6666666269302368,0.012085530906915665,0.921052634716034,0.5223880410194397,0.012178149074316025,0.5223880410194397,0.012178149074316025,0.92279052734375,0.9068487882614136
