name,instance,run_id,test_incremental_building/macro_types/precision,test_incremental_building-sports_facility/macro_types/recall,test_incremental/macro_example/recall,test_incremental_building-library/macro_types/precision,test_incremental_building-power_station/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_building-dam/macro_types/recall,test_incremental_building-hotel/macro_types/precision,test_incremental_building-airport/macro_types/f1,test_pretraining/macro_types/f1,test_incremental/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_building-sports_facility/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_building-library/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_building-hotel/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test/micro/recall,test_incremental_building-hospital/macro_types/recall,test_incremental_building-restaurant/macro_types/f1,test_incremental_building/macro_types/recall,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental_building-power_station/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental_building/macro_types/f1,test_incremental_building-theater/macro_types/f1,test_incremental/macro_example/f1,test_incremental_building-dam/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_building-hospital/macro_types/precision,test_incremental/micro/f1,test/macro_example/precision,threshold_incremental,test/macro_example/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,epoch,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_building-dam/macro_types/precision,test_incremental_building-theater/macro_types/precision,test/macro_types/f1,test/macro_types/precision,test_incremental/micro/recall,test_incremental_building-library/macro_types/f1,test_incremental_building-airport/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_building-theater/macro_types/recall,test_incremental_building-power_station/macro_types/f1,test_incremental_building-hotel/macro_types/recall,test/macro_types/recall,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_building-sports_facility/macro_types/f1,test_pretraining/macro_example/f1,test/micro/precision,test_incremental_building-restaurant/macro_types/recall,test_incremental_building-restaurant/macro_types/precision,test/micro/f1,test/macro_example/f1,test_pretraining/micro/f1,threshold_pretraining,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_building-hospital/macro_types/f1,test_incremental_building-airport/macro_types/recall
box_adapter_bert_ms,1,ggft7hgh,0.9371069073677064,0.9666666388511658,0.10473208129405975,0.05321101099252701,0.051094889640808105,0.7602558135986328,0.09963437169790268,0.9666666388511658,0.05118830129504204,0.10398613661527634,0.7960457801818848,0.24501299858093264,0.08733472228050232,0.052606187760829926,0.053016453981399536,0.7949801683425903,0.9666666388511658,0.8353718519210815,0.09705372899770735,0.1073797643184662,0.9396514296531676,0.8838951587677002,1.0,0.08605851978063583,0.8587896227836609,0.10625715553760529,0.9384058117866516,0.8235294222831726,0.455207884311676,0.931565284729004,0.8962405920028687,0.10051992535591124,0.03540864214301109,0.1008695662021637,0.17646494507789612,0.05850091576576233,0.18994031846523285,0.7949801683425903,0.01,0.9061354398727416,0.021305963397026065,0.867435097694397,0.19266949594020844,6,0.14105626940727234,0.010013144463300703,0.05321101099252701,0.053016453981399536,0.7960457801818848,0.7602558135986328,0.8940609693527222,0.1008695662021637,0.054844606667757034,0.09961538016796112,0.9061354398727416,0.017966395244002342,0.9666666388511658,0.09621992707252502,0.9333333373069764,0.8353718519210815,0.05259951204061508,0.29326924681663513,0.10051992535591124,0.846926212310791,0.455207884311676,0.8333333134651184,0.04537205025553703,0.6009337306022644,0.846926212310791,0.6009337306022644,0.25,0.8838951587677002,0.9365671277046204,0.11053541302680968,1.0
box_adapter_bert_ms,0,a6lu211d,0.9371069073677064,0.0,0.07266295701265335,0.8888888955116272,0.05220228433609009,0.7773370742797852,0.19780460000038147,0.0,0.0,0.0,0.7522372603416443,0.27173081040382385,0.02366040274500847,0.16268546879291534,0.0,0.5630654692649841,0.2666666805744171,0.7287076711654663,0.0,0.26865673065185547,0.25226032733917236,0.8449854254722595,0.0625,0.02383222058415413,0.8587896227836609,0.12191104143857956,0.260869562625885,0.9411764740943908,0.5699648857116699,0.31291329860687256,0.8962405920028687,0.22727273404598236,0.06923173367977142,0.0,0.5475504398345947,0.1538461595773697,0.20229634642601013,0.5630654692649841,0.99,0.8851020932197571,0.06610994786024094,0.6018251180648804,0.2609808146953583,6,0.24012762308120728,0.02505219168961048,0.0,0.3571428656578064,0.7522372603416443,0.7773370742797852,0.5939005017280579,0.41025641560554504,0.0,0.04811226204037666,0.8851020932197571,0.02433641441166401,0.1666666716337204,0.09891808032989502,0.0,0.7287076711654663,0.02649981528520584,0.5734063386917114,0.0,0.6882773041725159,0.5699648857116699,0.8333333134651184,0.012088974937796593,0.6807475686073303,0.6882773041725159,0.6807475686073303,0.25,0.8449854254722595,0.2537313401699066,0.08888889104127884,0.0
classifier_adapter_bert_ms,2,3khuqc9s,0.9473684430122375,0.8999999761581421,0.10125261545181274,0.5087719559669495,0.5249999761581421,0.8510490655899048,0.6844756603240967,0.9666666388511658,0.5853658318519592,0.8955223560333252,0.8574604392051697,0.710887610912323,0.08211551606655121,0.5611850023269653,0.6585366129875183,0.9090574979782104,0.9666666388511658,0.8639691472053528,0.6760563254356384,0.8694029450416565,0.8771922588348389,0.8974198698997498,0.84375,0.5,0.829971194267273,0.6825806498527527,0.8731883764266968,0.6176470518112183,0.8753805756568909,0.8724701404571533,0.8847925662994385,0.701298713684082,0.09733474999666214,0.4715447127819062,0.7761355638504028,0.7297297120094299,0.7567954063415527,0.9090574979782104,0.17,0.9133785963058472,0.09370878338813782,0.838616669178009,0.87496417760849,36,0.5998033881187439,0.08107167482376099,0.31182795763015747,0.5744680762290955,0.8574604392051697,0.8510490655899048,0.8491171598434448,0.6666666865348816,0.8108108043670654,0.6452476382255554,0.9133785963058472,0.08159025758504868,0.8999999761581421,0.5675675272941589,0.800000011920929,0.8639691472053528,0.5116772651672363,0.8061672449111938,0.7605634331703186,0.911212921142578,0.8753805756568909,0.8999999761581421,0.3461538553237915,0.8862631916999817,0.911212921142578,0.8862631916999817,0.375,0.8974198698997498,0.8805969953536987,0.782608687877655,1.0
classifier_adapter_bert_ms,1,gl9tjz6u,0.9473684430122375,0.8999999761581421,0.10142658650875092,0.6744186282157898,0.4399999976158142,0.8692353963851929,0.7660620212554932,0.9333333373069764,0.604651153087616,0.9677419066429138,0.8667950630187988,0.7809432744979858,0.08246347308158875,0.6783852577209473,0.7941176295280457,0.9192174673080444,0.9666666388511658,0.8643684983253479,0.7123287916183472,0.8843283653259277,0.8797658085823059,0.8976279497146606,0.9375,0.54347825050354,0.829971194267273,0.7805596590042114,0.8768116235733032,0.6470588445663452,0.8929828405380249,0.8747863173484802,0.8847925662994385,0.78125,0.10049648582935332,0.7887323498725891,0.8247907161712646,0.8333333134651184,0.8141320943832397,0.9192174673080444,0.36000000000000004,0.9134655594825744,0.09958329796791077,0.8400576114654541,0.8843283653259277,51,0.7052836418151855,0.08246346563100815,0.6829268336296082,0.7352941036224365,0.8667950630187988,0.8692353963851929,0.8507223129272461,0.7945204973220825,0.9375,0.7434715628623962,0.9134655594825744,0.08246346563100815,0.8333333134651184,0.523809552192688,0.8666666746139526,0.8643684983253479,0.6453333497047424,0.8323541283607483,0.84375,0.916332483291626,0.8929828405380249,0.8333333134651184,0.4032258093357086,0.8952993750572205,0.916332483291626,0.8952993750572205,0.375,0.8976279497146606,0.8843283653259277,0.8823530077934265,1.0
classifier_adapter_bert_ms,0,1htl7921,0.9473684430122375,0.8666666746139526,0.10148457437753676,0.5,0.8333333134651184,0.8610978126525879,0.731761634349823,0.9666666388511658,0.48148149251937866,0.9523809552192688,0.8627973794937134,0.7514076828956604,0.08263744413852692,0.6259432435035706,0.7647058963775635,0.9186900854110718,0.9666666388511658,0.8645037412643433,0.6190476417541504,0.8955223560333252,0.8806372880935669,0.8976279497146606,0.9375,0.7027026414871216,0.829971194267273,0.7391910552978516,0.8768116235733032,0.5882353186607361,0.8860135674476624,0.8755706548690796,0.8847925662994385,0.6933333873748779,0.09922636300325394,0.6590908765792847,0.8039453029632568,0.4761904776096344,0.7910447716712952,0.9186900854110718,0.24,0.9134655594825744,0.0970664769411087,0.8405379056930542,0.8908337950706482,33,0.6580857634544373,0.08350730687379837,0.5,0.5777778029441833,0.8627973794937134,0.8610978126525879,0.8507223129272461,0.6590908765792847,0.9090909361839294,0.7024673223495483,0.9134655594825744,0.08307009190320969,0.8666666746139526,0.6896551847457886,0.8666666746139526,0.8645037412643433,0.5859563946723938,0.8218345046043396,0.8125,0.9160703420639038,0.8860135674476624,0.8666666746139526,0.5909090638160706,0.8917829394340515,0.9160703420639038,0.8917829394340515,0.375,0.8976279497146606,0.8861940503120422,0.6315789818763733,1.0
